Basin_Subbasin_Number,Basin_Subbasin_Name,Hydrologic_Region,Region_Office,Basin_Area_Acres,Basin_Area_SqMi,Project_Phase,C1_Population_Census,C1_Population_SqMi,C1_Priority_Points,C2_Population_Projection,C2_Population_Growth,C2_Zero_2010_Population,C2_Negative_or_No_Growth,C2_Postive_Growth_and_2010_Pop_1000,C2_Density_50_and_2010_Population_25000,C2_Priority_Points,C3_Public_Supply_Groundwater_Wells,C3_Public_Supply_Wells_SqMi,C3_Priority_Points,C4_Total_Groundwater_Wells,C4_Production_Wells_SqMi,C4_Priority_Points,C5_Irrigated_Acres,C5_Irrigated_Acres_SqMi,C5_Priority_Points,C6_Agricultural_Groundwater_AF,C6_Agricultural_ Surface_ Water_AF,C6_Agricultural_Total_Applied_Water_AF,C6_Agricultural_Groundwater_Percent_Supply,C6_Agricultural_Surface_Water_Percent_Supply,C6_Urban_Groundwater_AF,C6_Urban_Surface_Water_AF,C6_Urban_Purchased_Surface_Water_AF,C6_Urban_Total_Water_Use_AF,C6_Urban_Groundwater_Percent_Supply,C6_Urban_Surface&Purchased_Water_Percent_Supply,C6_Other_Groundwater,C6_Other_Surface_Water,C6_Groundwater_Use_AF,C6_Surface_Water_Use_AF,C6_Total_Water_Use_AF,C6a_Groundwater_Use_AF_BasinAcre,C6a_Points,C6b_Groundwater_Percent_Supply,C6b_Surface_Water_Percent_Supply,C6b_Points,C6_Priority_Points,C7_Impacts_Declining_Groundwater_Levels_Points,C7_Impacts_Declining_Groundwater_Levels_Comment,C7_Impacts_Subsidence_Points,C7_Impacts_Subsidence_Comment,C7_Impacts_Salt_Intrusion_Points,C7_Impacts_Salt_Intrusion_Comment,C7_Impacts_WQ_Detects,C7_WQ_MCL_Exceed,C7_WQ_Average_MCL_Exceedance,C7_WQ_Average_MCL_Exceed_Points,C7_WQ_Unique_Wells_Excd,C7_WQ_Wells_Excd_Per_PSW,C7_WQ_Wells_Excd_Per_PSW_Points,C7_WQ_Calculated_Points,C7_WQ_Other,C7_Impacts_Water_Quality_Points,C7_Impacts_Water_Quality_Comment,C7_Impacts_Total_Points,C7_Priority_Points,C8a_Streamflow_Points,C8a_Habitat_Points,C8a_Monitoring,C8a_Monitoring_and_GroundwaterThreshold_Adverse,C8a_Adverse_Adjustment,C8a_AdverseComment,C8a_HabitatSF_Priority_Points,C8b_BasinOtherInfo_Priority_Points,C8b_BasinOtherInfoComment,C8a_and_C8b_Priority_Points,C8c_2kGroundwater,C8c_9.5kGW_NoDocImpacts,C8c_Adjudication,C8c_Groundwater_NonAdj_AF,C8c_9.5kGW_NonAdj,C8c_CriticalOverdraft,C8c_OutOfBasinGWExports_SubstitutionTransfers,Substitution_Year,Substitution_Amt,Substitution_PriorityPoints,Total_Priority_Points,Priority,Priority_Change_2014_to_2018
4-013,San Gabriel Valley,South Coast,SRO,126378.9909,197.4671734,1,"1,267,729","6,420",5,"1,297,489",2.34,FALSE,FALSE,FALSE,FALSE,1,238,1.2,5,"1,432",7.25,3,248,1.25,1,57,1114,1171,4.9,95.1,173292,7002,53880,234174,74,26,0,0,173349,61996,235345,1.37,5,73,26,4,4.5,7.5,"1) CASGEM/WDL/GWIDS: Many hydrographs show declines within the basin
Source: 4-013_7a_Hydrographs_SanGabrielValley.pdf

2) Water Master Annual report hydrograph for Baldwin Park key well shows a decline of about 50 feet since 1989. 
Source:  4-013_7a_SanGabrielWatermasterReport2015-2016.pdf  Appendix C",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"115,320","26,011",4.07,4,211,0.89,3,7,0,2,0,9.5,2,1,1,TRUE,Monitored with Declining GW Levels and > 0.16 ft GW Use,0,,2,0,,2,FALSE,FALSE,TRUE,"7,000",TRUE,FALSE,FALSE,0,0,0,0,Very Low,M/H to L/VL
4-015,Tierra Rejada,South Coast,SRO,4597.825806,7.184102822,1,"3,758",523,2,"4,474",19.05,FALSE,FALSE,FALSE,FALSE,3,1,0.13,2,44,6.12,3,480,66.81,2,1181,116,1297,91.1,8.9,214,0,1136,1350,15.9,84.1,0,0,1395,1252,2647,0.3,3,52,47,3,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,120,1,1.38,1,1,1,4,5,0,1,0,1,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
4-016,Hidden Valley,South Coast,SRO,2210.703104,3.454223601,1,503,146,1,554,10.13,FALSE,FALSE,TRUE,FALSE,0,2,0.57,4,59,17.08,4,3,0.86,0,9,0,9,100,0,126,0,0,126,100,0,0,0,135,0,135,0.06,1,100,0,5,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,158,51,6.33,5,2,1,4,9,0,3,0,3,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
4-017,Lockwood Valley,South Coast,SRO,21789.54105,34.0461579,1,244,7,1,290,18.85,FALSE,FALSE,TRUE,TRUE,0,2,0.05,1,160,4.69,2,10,0.29,0,52,5,57,91.2,8.8,47,0,0,47,100,0,0,0,99,5,104,0,0,95,4,5,2.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,76,4,1.55,1,1,0.5,2,3,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
4-018,Hungry Valley,South Coast,SRO,5309.152277,8.295550435,1,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,0,1,0.12,2,4,0.48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
4-019,Thousand Oaks Area,South Coast,SRO,3106.009123,4.853139255,1,"17,303","3,565",4,"18,210",5.24,FALSE,FALSE,FALSE,FALSE,1,0,0,0,26,5.35,3,0,0,0,0,0,0,0,0,0,104,5995,6099,0,100,0,0,0,6099,6099,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
4-020,Russell Valley,South Coast,SRO,3078.250289,4.809766077,1,"18,795","3,908",4,"20,452",8.81,FALSE,FALSE,FALSE,FALSE,2,0,0,0,7,1.45,1,0,0,0,0,0,0,0,0,0,227,6067,6294,0,100,0,0,0,6294,6294,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
4-022,Malibu Valley,South Coast,SRO,610.7948484,0.954366951,1,568,595,2,711,25.17,FALSE,FALSE,TRUE,FALSE,0,0,0,0,4,4.19,2,0,0,0,0,0,0,0,0,0,0,592,592,0,100,0,0,0,592,592,0,0,0,100,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,5,"In the Malibu Valley Groundwater Basin, the groundwater is characterized by localized areas of high TDS due to sea water intrusion along the Pacific Ocean coast (DWR 2004bh) (pg. 7-73)   However, on pg. 7-79 it says this: Malibu Valley Groundwater Basin: No groundwater is used by the communities in this groundwater basin, including the Malibu area (Los Angeles County 2011; MWDSC 2007).
Source: Various_7c_LTO-EIS_USBR_2015-Chapter7-GWResources.pdf  pg. 7-72, 7-79",0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
4-023,Raymond,South Coast,SRO,26048.79144,40.70123663,1,"221,760","5,448",5,"248,314",11.97,FALSE,FALSE,FALSE,FALSE,2,52,1.27,5,220,5.4,3,0,0,0,0,0,0,0,0,22633,87,26064,48784,46.4,53.6,0,0,22633,26151,48784,0.86,5,46,53,3,4, -   ,"1) Annual Water Master report hydrographs are stable.
Source: http://sgma.water.ca.gov/adjudbasins/report/preview/41  2014-15 RBMB AR.pdf  Pg. 22-23",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"40,625","6,654",2.08,2,60,1.15,5,7,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,TRUE,1,TRUE,FALSE,FALSE,0,0,0,0,Very Low,M/H to L/VL
5-001.01,Goose Lake - Goose Valley,Sacramento Valley,NRO,35954.40165,56.17875258,1,57,1,0,77,35.08,FALSE,FALSE,TRUE,TRUE,0,0,0,0,55,0.97,1,"6,583",117.17,3,2942,17322,20264,14.5,85.5,17,0,0,17,100,0,0,0,2959,17322,20281,0.08,1,14,85,1,1,7.5,"1) CASGEM/WDL/GWIDS: Long term (since 70's, 80's, 90's, 00's) hydrographs show groundwater level decline.
Source: 5-001.01_7a_Hydrographs_GooseValley.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,7.5,2,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,7,Very Low,No Change
5-001.02,Goose Lake - Fandango Valley,Sacramento Valley,NRO,18443.01762,28.81721503,1,127,4,0,86,-32.28,FALSE,TRUE,FALSE,TRUE,0,1,0.03,1,58,2.01,2,"3,158",109.58,3,2293,7865,10158,22.6,77.4,44,0,0,44,100,0,0,0,2337,7865,10202,0.12,2,22,77,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-002.01,Alturas Area - South Fork Pitt River,Sacramento Valley,NRO,114136.6644,178.3385381,1,"4,429",25,1,"4,584",3.49,FALSE,FALSE,FALSE,TRUE,0,6,0.03,1,554,3.1,2,"27,631",154.93,3,16544,67379,83923,19.7,80.3,1413,0,0,1413,100,0,0,0,17957,67379,85336,0.15,2,21,78,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,175,0,0,0,0,0,0,0,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,9,Low,No Change
5-002.02,Alturas Area - Warm Springs Valley,Sacramento Valley,NRO,68007.85673,106.2622762,1,966,9,1,"1,441",49.17,FALSE,FALSE,TRUE,TRUE,0,8,0.07,1,207,1.94,1,"9,476",89.17,2,5344,23705,29049,18.4,81.6,311,0,0,311,100,0,0,0,5655,23705,29360,0.08,1,19,80,1,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,130,5,3.19,3,4,0.5,2,5,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-003,Jess Valley,Sacramento Valley,NRO,6705.424797,10.47722625,1,13,1,0,13,0,FALSE,TRUE,FALSE,TRUE,0,0,0,0,2,0.19,1,"3,327",317.54,4,0,11046,11046,0,100,5,0,0,5,100,0,0,0,5,11046,11051,0,0,0,99,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-004,Big Valley,Sacramento Valley,NRO,92067.14541,143.8549147,1,"1,046",7,1,"1,086",3.82,FALSE,FALSE,FALSE,TRUE,0,4,0.02,1,413,2.87,2,"19,403",134.87,3,37732,20317,58049,65,35,260,0,0,260,100,0,0,0,37992,20317,58309,0.41,3,65,34,4,3.5,7.5,"1) CASGEM/WDL/GWIDS: Long term hydrographs show groundwater level decline.
Source: 5-004_7a_Hydrographs_BigValley.pdf",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,146,14,5.73,4,3,0.75,3,7,0,2,0,9.5,2,1,1,TRUE,Monitored with Declining GW Levels and > 0.16 ft GW Use,0,,2,0,,2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,14.5,Medium,No Change
5-005,Fall River Valley,Sacramento Valley,NRO,54824.59745,85.66343353,1,"1,629",19,1,"1,609",-1.22,FALSE,TRUE,FALSE,TRUE,0,5,0.05,1,533,6.22,3,"21,804",254.53,4,29747,30961,60708,49,51,203,0,0,203,100,0,0,0,29950,30961,60911,0.54,4,49,50,3,3.5, -   ,"No documented Groundwater Level Declines
Source: DWR SGMA Data Viewer for GW levels",0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,124,23,6.45,5,3,0.6,2,7,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,12.5,Low,No Change
5-006.01,Redding Area - Bowman,Sacramento Valley,NRO,122533.8042,191.4590691,2,"7,937",41,1,"11,836",49.12,FALSE,FALSE,FALSE,TRUE,0,12,0.06,1,"1,819",9.5,3,"3,034",15.84,1,6412.361717,7328.724122,13741.08584,46.7,53.3,1269,0,0,1269,100,0,0,0,7680.895336,7328.724122,15009.61946,0.06,1,51.2,48.8,3,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,351,7,3.07,3,4,0.33,1,4,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,M/H to L/VL
5-006.03,Redding Area - Anderson,Sacramento Valley,NRO,98704.64515,154.2260081,1,"53,123",344,2,"59,578",12.15,FALSE,FALSE,FALSE,FALSE,2,65,0.42,3,"2,763",17.91,4,"8,358",54.19,2,6324,28449,34773,18.2,81.8,6585,6338,750,13673,48.2,51.8,3526,-3526,16435,32011,48446,0.16,2,33,66,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"1,358",31,6.51,5,13,0.2,1,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,2015,"3,785",2,17,Medium,No Change
5-006.04,Redding Area - Enterprise,Sacramento Valley,NRO,61288.32148,95.76300233,1,"69,106",722,2,"86,601",25.31,FALSE,FALSE,FALSE,FALSE,4,35,0.36,3,"2,281",23.81,5,"2,955",30.85,2,3073,8044,11117,27.6,72.4,9069,10955,0,20024,45.3,54.7,0,0,12142,18999,31141,0.19,2,38,61,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,"1,078",205,2.4,2,16,0.46,1,3,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,18,Medium,No Change
5-006.05,Redding Area - Millville,Sacramento Valley,NRO,65616.0185,102.5250289,2,"2,513",25,1,"3,516",39.91,FALSE,FALSE,FALSE,TRUE,0,4,0.03,1,780,7.6,3,"1,131",11.03,1,2124.872447,2248.0275,4372.899948,48.6,51.4,745,401,0,1146,65,35,0,0,2869.629107,2649.287731,5518.916839,0.04,1,52,48,3,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,74,2,4.13,4,1,0.25,1,5,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-006.06,Redding Area - South Battle Creek,Sacramento Valley,NRO,33716.35425,52.68180351,2,52,1,0,79,51.92,FALSE,FALSE,TRUE,TRUE,0,0,0,0,30,0.56,1,"1,508",28.61,2,1508.807276,3640.383671,5149.190947,29.3,70.7,8,0,0,8,100,0,0,0,1516.940641,3640.383671,5157.324312,0.04,1,29.4,70.6,2,1.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-007,Lake Almanor Valley,Sacramento Valley,NRO,7154.148819,11.17835753,1,"2,121",190,1,"2,053",-3.2,FALSE,TRUE,FALSE,FALSE,0,6,0.53,4,49,4.38,2,0,0,0,0,0,0,0,0,284,0,0,284,100,0,0,0,284,0,284,0.03,1,100,0,5,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,58,1,1.3,1,1,0.17,1,2,0,0,0,0,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-008,Mountain Meadows Valley,Sacramento Valley,NRO,8145.860803,12.72790751,1,0,0,0,0,0,TRUE,TRUE,FALSE,TRUE,0,0,0,0,2,0.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-009,Indian Valley,Sacramento Valley,NRO,29413.1679,45.95807485,1,"1,718",37,1,"1,666",-3.02,FALSE,TRUE,FALSE,TRUE,0,12,0.26,3,607,13.2,4,"7,811",169.95,3,127,23169,23296,0.5,99.5,247,0,0,247,100,0,0,0,374,23169,23543,0.01,0,1,98,1,0.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,110,8,2.13,2,1,0.08,1,3,0,1,0,1,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-010,American Valley,Sacramento Valley,NRO,6799.251257,10.62383009,1,"3,786",356,2,"3,773",-0.34,FALSE,TRUE,FALSE,FALSE,0,17,1.6,5,426,40.09,5,"1,071",100.81,3,64,3145,3209,2,98,731,0,0,731,100,0,0,0,795,3145,3940,0.11,2,20,79,2,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,253,9,5.26,4,4,0.24,1,5,0,1,0,1,0,1,1,FALSE,Not Monitored with < 0.16 ft GW Use,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-011,Mohawk Valley,Sacramento Valley,NRO,18983.0922,29.66108157,1,"1,375",46,1,"1,367",-0.58,FALSE,TRUE,FALSE,TRUE,0,11,0.37,3,493,16.62,4,770,25.95,2,328,1987,2315,14.2,85.8,191,0,0,191,100,0,0,0,519,1987,2506,0.02,0,20,79,2,1, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,49,5,2.53,2,3,0.27,1,3,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-012.01,Sierra Valley - Sierra Valley,Sacramento Valley,NRO,117292.4241,183.2694127,2,"2,192",12,1,"2,210",0.82,FALSE,FALSE,FALSE,TRUE,0,10,0.05,1,594,3.24,2,"16,592",90.53,2,12200,22139,34339,35.5,64.5,280,0,0,280,100,0,0,0,12479.5375,22139,34618.5375,0.1,2,36,64,2,2,7.5,"1) Hydrographs show groundwater level decline.
Source: 5-012.01_7a_Hydrographs_SierraValley.pdf

2) Majority of long-term hydrographs are relatively stable, a few with declining groundater levels.
Source: 5-012.01_7a_SV-GWConditionsTechnicalReport.pdf   page 79+
",10,"1) Reports approximately 6 inches of subsidence between 5/2015 and 6/2016,
 pgs 20-21
2016 - Various_7b_NASA_REPORT_2016.pdf

2) Reports subsidence in various locations in the basins ranging from 1.5 ft to 2.2 feet
Source: DWR, 5-012.01_7b_Sierra Valley GW Study-Memo Report_1983_wAppA-G.pdf, pg 59
",0,No documented Saline Intrusion,106,2,3.83,3,1,0.1,1,4,0,1,0,18.5,4,1,1,TRUE,Monitored with no Declining GW Levels,0,,2,3,"Complicated water management scenario in the basin including impacts from reservoir operations that are out of the control local water managers, dependence on surface water deliveries that are driven by highly variable precipitation patterns. This results in an increase of groundwater pumping during years of limited surface water and is made more challenging by the lack of available surface water for conjunctive management to manage groundwater conditions.

Source: 5-012.01_8b_Sierra Valley 2015-2016 Technical Report",5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,17,Medium,No Change
5-012.02,Sierra Valley - Chilcoot,Sacramento Valley,NRO,7545.725409,11.79019595,1,308,26,1,289,-6.16,FALSE,TRUE,FALSE,TRUE,0,8,0.67,4,178,15.09,4,"1,091",92.53,2,3,3279,3282,0.1,99.9,43,0,0,43,100,0,0,0,46,3279,3325,0,0,1,98,1,0.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,57,16,3.61,3,4,0.5,2,5,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-013,Upper Lake Valley,Sacramento Valley,NRO,7265.872668,11.35292604,1,"2,055",181,1,"2,655",29.19,FALSE,FALSE,FALSE,FALSE,4,6,0.52,4,282,24.83,5,"2,070",182.33,3,2595.63,1189.37,3785,68.6,31.4,232,52,0,284,81.7,18.3,0,0,2827.63,1241.37,4069,0.38,3,69,30,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,255,84,14.64,5,5,0.83,3,8,0,3,0,3,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-014,Scotts Valley,Sacramento Valley,NRO,7326.087948,11.44701242,1,"6,548",572,2,"6,327",-3.37,FALSE,TRUE,FALSE,FALSE,0,8,0.69,4,518,45.25,5,"1,208",105.52,3,2470,1235,3705,66.7,33.3,644,365,0,1009,63.8,36.2,0,0,3114,1600,4714,0.42,3,66,33,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,169,18,6.4,5,2,0.25,1,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,M/H to L/VL
5-015,Big Valley,Sacramento Valley,NRO,24231.28217,37.86137839,1,"6,344",168,1,"7,426",17.05,FALSE,FALSE,FALSE,FALSE,3,8,0.21,2,872,23.03,5,"7,906",208.81,4,18369,1695,20064,91.6,8.4,738,0,0,738,100,0,0,0,19107,1695,20802,0.78,5,91,8,5,5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,148,13,6.47,5,4,0.5,2,7,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,20,Medium,No Change
5-016,High Valley,Sacramento Valley,NRO,2357.907931,3.684231142,1,34,9,1,49,44.11,FALSE,FALSE,TRUE,TRUE,0,3,0.81,4,26,7.05,3,153,41.52,2,134,203,337,39.8,60.2,2,0,0,2,100,0,0,0,136,203,339,0.05,1,40,59,3,2, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,16,12,43.39,5,1,0.33,1,6,0,2,0,2,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-017,Burns Valley,Sacramento Valley,NRO,2875.114142,4.492365848,1,"2,691",599,2,"3,746",39.2,FALSE,FALSE,FALSE,FALSE,4,0,0,0,115,25.59,5,378,84.14,2,854,135,989,86.3,13.7,0,489,0,489,0,100,0,0,854,624,1478,0.29,3,57,42,3,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-018,Coyote Valley,Sacramento Valley,NCRO,6533.199443,10.20812413,1,"2,252",221,1,"4,017",78.37,FALSE,FALSE,FALSE,FALSE,5,3,0.29,3,116,11.36,4,"1,345",131.75,3,2777,1495,4272,65,35,473,0,0,473,100,0,0,0,3250,1495,4745,0.49,3,68,31,4,3.5, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,238,2,2.21,2,2,0.67,2,4,0,1,0,1,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
5-019,Collayomi Valley,Sacramento Valley,NCRO,6501.577557,10.15871493,1,"1,513",149,1,"1,929",27.49,FALSE,FALSE,FALSE,FALSE,4,2,0.19,2,161,15.84,4,582,57.29,2,1251,674,1925,65,35,163,0,0,163,100,0,0,0,1414,674,2088,0.21,2,67,32,4,3, -   ,No documented Groundwater Level Declines,0,No documented groundwater extraction induced inelastic Subsidence,0,No documented Saline Intrusion,140,14,6.6,5,3,1.5,5,10,0,3,0,3,0,1,1,TRUE,Monitored with no Declining GW Levels,0,,0,0,,0,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,0,0,0,Very Low,No Change
