OID_,ProjectID,RightID,ApplicationNumber,LegalDescription,SubSectionID,Section_,Township,Range,RangeDirectionID,HUC_12,Status,Use,Canal_System,Irrigation_District,County,NRD_1,Water_Division,Source,Current_Acres,Grant_,Units,PriorityDate,Longitude,Latitude
5680,1,6160,A-2979,NE NE S31 T17N-R06W,6,31,17,6,2,102100100606.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Cedar River,31.899999999999999,0.230000000000000,CFS,9/30/1939 0:00:00,-98.045314527451538,41.408206471375429
5681,1,6161,A-6998,NE NE S31 T17N-R06W,6,31,17,6,2,102100100606.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Cedar River,80.000000000000000,0.570000000000000,CFS,1/17/1955 0:00:00,-98.045314527451538,41.408206471375429
5682,1,6167,A-7452B,NW NE S31 T17N-R06W,5,31,17,6,2,102100100606.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Cedar River,45.000000000000000,0.270000000000000,CFS,5/9/1955 0:00:00,-98.050093920883441,41.407405275865486
5683,1,9714,A-17897,NW NE S31 T17N-R06W,5,31,17,6,2,102100100606.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Cedar River,45.000000000000000,0.370000000000000,CFS,7/24/2000 0:00:00,-98.050093920883441,41.407405275865486
5684,1,6248,A-17736,NE NW S31 T17N-R06W,2,31,17,6,2,102100100503.000000000000000,Active,IR - Irrigation from Natural Stream,Columbus-Genoa Canal,,Nance,Lower Loup,2A - Loup River,Timber Creek,42.000000000000000,0.300000000000000,CFS,2/11/1999 0:00:00,-98.055666269954116,41.408692782559832
5685,1,11000,A-11669A,LOT01 S04 T34N-R18W,17,4,34,18,2,101500061103.000000000000000,Active,IR - Irrigation from Natural Stream,,,Keya Paha,Lower Niobrara,2C - Niobrara River,Keya Paha River,18.000000000000000,0.260000000000000,CFS,3/14/1969 0:00:00,-99.437882801491739,42.952114587378588
5686,1,11002,A-9758A,LOT10 S04 T34N-R18W,26,4,34,18,2,101500061103.000000000000000,Active,IR - Irrigation from Natural Stream,,,Keya Paha,Lower Niobrara,2C - Niobrara River,Keya Paha River,177.199999999999989,2.530000000000000,CFS,9/8/1959 0:00:00,-99.435173391241278,42.952660809356871
5687,1,11005,A-18795,SE SW S16 T32N-R02E,12,16,32,2,1,101701011004.000000000000000,Active,IR - Irrigation from Natural Stream,,,Cedar,Lewis & Clark,2F - Upper Missouri River and Tributaries,"Bow Creek, West",160.199999999999989,2.290000000000000,CFS,7/22/2011 0:00:00,-97.202564853574501,42.742820725266050
5688,1,798,A-17284,NE NW S08 T07N-R14W,2,8,7,14,2,102001011102.000000000000000,Active,IR - Irrigation from Natural Stream,,,Kearney,Tri-Basin,1A - Platte River,Dry Creek,65.000000000000000,0.930000000000000,CFS,5/12/1993 0:00:00,-98.923714463875726,40.593901848650802
5689,1,11006,A-18796,SW SE S02 T01N-R08E,15,2,1,8,1,102702050102.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,Plum Creek,83.400000000000006,1.190000000000000,CFS,8/2/2011 0:00:00,-96.490275521724328,40.076988489421069
5690,1,705,A-14694,SW SW S27 T09N-R19W,11,27,9,19,2,102001010808.000000000000000,Active,IR - Irrigation from Natural Stream,,,Dawson,Central Platte,1A - Platte River,Buffalo Creek,78.000000000000000,1.110000000000000,CFS,2/8/1977 0:00:00,-99.479971471857965,40.716701660937787
5691,1,672,A-13908,SW NE S16 T08N-R18W,7,16,8,18,2,102001011001.000000000000000,Active,IR - Irrigation from Natural Stream,,,Buffalo,Central Platte,1A - Platte River,Platte River,69.400000000000006,0.990000000000000,CFS,12/16/1975 0:00:00,-99.368581940498757,40.666507913677911
5692,1,26,A-10240,NW NE S32 T07N-R19W,5,32,7,19,2,102001010905.000000000000000,Active,IR - Irrigation from Natural Stream,,,Phelps,Tri-Basin,1A - Platte River,Dry Creek,10.000000000000000,0.140000000000000,CFS,9/11/1963 0:00:00,-99.499419577690858,40.535848321707583
5693,1,54,A-880R,SE SE S02 T22N-R58W,16,2,22,58,2,101800120701.000000000000000,Active,IR - Irrigation from Natural Stream,,,Scotts Bluff,North Platte,1A - Platte River,Kiowa Creek,4.200000000000000,0.060000000000000,CFS,11/29/1907 0:00:00,-104.005824226133868,41.901106164948089
5694,1,231,A-550R,NE NE S11 T18N-R52W,6,11,18,52,2,101800130307.000000000000000,Active,IR - Irrigation from Natural Stream,,,Morrill,North Platte,1A - Platte River,Lawrence Fork,45.000000000000000,0.640000000000000,CFS,3/23/1900 0:00:00,-103.273078470710175,41.551907819240355
5695,1,919,A-2235,SW NE S30 T16N-R03W,7,30,16,3,2,102001030207.000000000000000,Active,IR - Irrigation from Natural Stream,,,Merrick,Central Platte,1A - Platte River,Prairie Creek,60.000000000000000,0.860000000000000,CFS,9/8/1931 0:00:00,-97.701740995750257,41.331078560177403
5696,1,11007,A-18797,NE NE S32 T10N-R12E,6,32,10,12,1,102400010205.000000000000000,Active,IR - Irrigation from Natural Stream,,,Cass,Lower Platte South,1F - Nemaha River and Lower Missouri River,Weeping Water Creek,64.200000000000003,0.920000000000000,CFS,8/9/2011 0:00:00,-96.083243687610150,40.796761178568836
5697,1,420,D-652R,NW SW S35 T15N-R33W,9,35,15,33,2,101800140709.000000000000000,Active,IR - Irrigation from Natural Stream,,,Lincoln,Twin Platte,1A - Platte River,Birdwood Creek,15.000000000000000,0.220000000000000,CFS,1/16/1894 0:00:00,-101.074718016787628,41.227575180199409
5698,1,6183,A-12185,SW SW S03 T16N-R06W,11,3,16,6,2,102100100606.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Cedar River,359.699999999999989,5.140000000000000,CFS,3/12/1971 0:00:00,-98.000302020525240,41.382497998459094
5699,1,5821,A-9900,N½ S19 T18N-R13W,,19,18,13,2,102100070403.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Valley,Lower Loup,2A - Loup River,Bredthauer Reservoir,301.800000000000011,385.000000000000000,AF,2/12/1957 0:00:00,-98.857188201099873,41.521051064456742
5700,1,5603,A-4446,SE NW S05 T26N-R27W,4,5,26,27,2,102100060408.000000000000000,Active,IR - Irrigation from Natural Stream,,,Cherry,Upper Loup,2A - Loup River,"Loup River, North",275.899999999999977,2.910000000000000,CFS,3/7/1949 0:00:00,-100.492096341529063,42.256765852947780
5701,1,5756,A-14765,NE SE S31 T20N-R14W,14,31,20,14,2,102100070204.000000000000000,Active,IR - Irrigation from Natural Stream,,,Valley,Lower Loup,2A - Loup River,Turtle Creek,265.000000000000000,3.790000000000000,CFS,3/2/1977 0:00:00,-98.970746801847696,41.660449874078729
5702,1,6582,A-4488,SW SW S21 T17N-R02E,11,21,17,2,1,102002010302.000000000000000,Active,IR - Irrigation from Natural Stream,,,Colfax,Lower Platte North,2A - Loup River,Lost Creek,233.000000000000000,1.660000000000000,CFS,7/18/1949 0:00:00,-97.211390824282361,41.425819104025358
5703,1,10326,A-12286A,SW SW S07 T15N-R07W,11,7,15,7,2,102100090207.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Loup River,233.000000000000000,3.330000000000000,CFS,6/1/1971 0:00:00,-98.174452541377917,41.278906119989408
5704,1,11011,A-18800R,NW SW S19 T33N-R08W,9,19,33,8,2,101500010304.000000000000000,Active,IR - Irrigation from Natural Stream,,,Knox,Lower Niobrara,2F - Upper Missouri River and Tributaries,"Ponca Creek, Trib. To",188.000000000000000,2.690000000000000,CFS,8/26/2011 0:00:00,-98.309970883895673,42.820206573032330
5705,1,5341,A-5148,NE SW S03 T12N-R18W,10,3,12,18,2,102100040407.000000000000000,Active,IR - Irrigation from Natural Stream,,,Buffalo,Lower Loup,2A - Loup River,"Loup River, South",72.900000000000006,0.630000000000000,CFS,2/6/1953 0:00:00,-99.364155187340430,41.038692633058552
5706,1,5917,A-15924,SE SE S24 T15N-R11W,16,24,15,11,2,102100070706.000000000000000,Active,IR - Irrigation from Natural Stream,,,Howard,Lower Loup,2A - Loup River,"Loup River, North, Trib. To",223.800000000000011,3.200000000000000,CFS,7/10/1981 0:00:00,-98.524060796545896,41.251128322003730
5707,1,6602,A-13363,NW SW S35 T17N-R04E,9,35,17,4,1,102002010309.000000000000000,Active,IR - Irrigation from Natural Stream,,,Butler,Lower Platte North,2A - Loup River,Skull Creek,220.000000000000000,3.140000000000000,CFS,1/20/1975 0:00:00,-96.942328867221136,41.399088095604533
5708,1,6338,A-17598,NW SE S23 T21N-R07W,13,23,21,7,2,102100090402.000000000000000,Active,IR - Irrigation from Natural Stream,,,Boone,Lower Loup,2A - Loup River,Beaver Creek,212.500000000000000,0.740000000000000,CFS,7/18/1997 0:00:00,-98.089849292951200,41.775569871312570
5709,1,10327,A-12286BR,SW SW S07 T15N-R07W,11,7,15,7,2,102100090207.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Loup River,200.400000000000006,2.860000000000000,CFS,6/1/1971 0:00:00,-98.174452541377917,41.278906119989408
5710,1,5395,A-4986,SW SW S30 T15N-R17W,11,30,15,17,2,102100050306.000000000000000,Active,IR - Irrigation from Natural Stream,,,Custer,Lower Loup,2A - Loup River,Mud (Beaver) Creek,192.000000000000000,1.670000000000000,CFS,7/12/1952 0:00:00,-99.315938848671649,41.237889553876151
5711,1,5322,A-5338,NE NW S34 T14N-R20W,2,34,14,20,2,102100040309.000000000000000,Active,IR - Irrigation from Natural Stream,,,Custer,Lower Loup,2A - Loup River,"Loup River, South",160.099999999999994,1.460000000000000,CFS,6/1/1953 0:00:00,-99.597932861993812,41.147410225873891
5712,1,10564,A-2263BR,SW NE S36 T23N-R21W,7,36,23,21,2,102100060803.000000000000000,Active,IR - Irrigation from Natural Stream,,,Blaine,Upper Loup,2A - Loup River,"Loup River, North",100.739999999999995,0.720000000000000,CFS,3/18/1932 0:00:00,-99.693242495185430,41.925062129791513
5713,1,5617,A-14281,SW SE S30 T24N-R23W,15,30,24,23,2,102100060703.000000000000000,Active,IR - Irrigation from Natural Stream,,,Blaine,Upper Loup,2A - Loup River,"Loup River, North",188.000000000000000,2.690000000000000,CFS,6/22/1976 0:00:00,-100.023964498095566,42.017006752728683
5714,1,11018,A-18807,NW SE S26 T31N-R03W,13,26,31,3,2,101701010501.000000000000000,Active,IR - Irrigation from Natural Stream,,,Knox,Lewis & Clark,2F - Upper Missouri River and Tributaries,"Bazile Creek, Little, Trib. To",207.599999999999994,2.970000000000000,CFS,9/8/2011 0:00:00,-97.630710187865645,42.631628162617552
5715,1,11022,A-18811,NE NW S24 T05N-R10E,2,24,5,10,1,102400080108.000000000000000,Active,IR - Irrigation from Natural Stream,,,Johnson,Nemaha,1F - Nemaha River and Lower Missouri River,"Nemaha River, Big",190.199999999999989,1.780000000000000,CFS,9/14/2011 0:00:00,-96.246199757457759,40.392197809902719
5716,1,6124,A-2887R,NW NW S01 T17N-R07W,1,1,17,7,2,102100100605.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Cedar River,113.200000000000003,0.810000000000000,CFS,10/4/1938 0:00:00,-98.079081533399702,41.480412843171734
5717,1,5596,A-2525,NW SW S20 T28N-R35W,9,20,28,35,2,102100060105.000000000000000,Active,IR - Irrigation from Natural Stream,,,Cherry,Upper Loup,2A - Loup River,"Loup River, North",185.000000000000000,1.320000000000000,CFS,3/12/1935 0:00:00,-101.430163008153201,42.388918960854411
5718,1,5595,A-2485,NW SW S20 T28N-R35W,9,20,28,35,2,102100060105.000000000000000,Active,IR - Irrigation from Natural Stream,,,Cherry,Upper Loup,2A - Loup River,"Loup River, North",67.000000000000000,0.480000000000000,CFS,10/10/1934 0:00:00,-101.430163008153201,42.388918960854411
5719,1,5597,A-2574,NW SW S20 T28N-R35W,9,20,28,35,2,102100060105.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Cherry,Upper Loup,2A - Loup River,Coble Reservoir,67.000000000000000,82.000000000000000,AF,4/13/1936 0:00:00,-101.430163008153201,42.388918960854411
5720,1,5601,A-2574,NW SW S20 T28N-R35W,9,20,28,35,2,102100060105.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Cherry,Upper Loup,2A - Loup River,Coble Reservoir,185.000000000000000,82.000000000000000,AF,4/13/1936 0:00:00,-101.430163008153201,42.388918960854411
5721,1,5619,A-2263R ,NW NW S32 T23N-R20W,1,32,23,20,2,102100060803.000000000000000,Active,IR - Irrigation from Natural Stream,,,Loup,Lower Loup,2A - Loup River,"Loup River, North",14.100000000000000,0.200000000000000,CFS,3/18/1932 0:00:00,-99.664997327804926,41.927420561993934
5722,1,9060,D-532,SW NE S07 T32N-R55W,7,7,32,55,2,101201080102.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Spring Creek,20.000000000000000,0.290000000000000,CFS,6/1/1893 0:00:00,-103.822171089530286,42.765119746043496
5723,1,9042,D-533R ,SE NE S07 T32N-R55W,8,7,32,55,2,101201080102.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Sow Belly Creek,328.199999999999989,3.000000000000000,CFS,6/1/1887 0:00:00,-103.818639376832891,42.763762061971093
5724,1,9084,D-536,SW SE S14 T33N-R57W,15,14,33,57,2,101201080101.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Jim Creek,25.000000000000000,0.360000000000000,CFS,5/1/1890 0:00:00,-104.000196459708704,42.828885665119273
5725,1,9063,D-550,NE NE S06 T32N-R55W,6,6,32,55,2,101201080102.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Spring Creek,40.000000000000000,0.570000000000000,CFS,3/26/1889 0:00:00,-103.818783054363678,42.783571720867400
5726,1,9078,D-976,SW NE S10 T32N-R56W,7,10,32,56,2,101201080102.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Cedar Creek,35.000000000000000,0.500000000000000,CFS,4/5/1886 0:00:00,-103.879083283825494,42.764526215874504
5727,1,9099,D-981,NE NE S07 T33N-R56W,6,7,33,56,2,101201080101.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Jim Creek,45.000000000000000,0.640000000000000,CFS,5/15/1889 0:00:00,-103.957084629314764,42.853727026100373
5728,1,9179,A-338,SE NW S09 T33N-R57W,4,9,33,57,2,101201080107.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,"Antelope Creek, South",20.000000000000000,0.290000000000000,CFS,5/17/1896 0:00:00,-104.044952940528844,42.851243866411529
5729,1,5623,A-2263R ,SW SE S32 T23N-R20W,15,32,23,20,2,102100060803.000000000000000,Active,IR - Irrigation from Natural Stream,,,Loup,Lower Loup,2A - Loup River,"Loup River, North",134.000000000000000,1.920000000000000,CFS,3/18/1932 0:00:00,-99.654088548905861,41.915583294996217
5730,1,5627,A-2263R ,SE SE S24 T22N-R20W,16,24,22,20,2,102100060804.000000000000000,Active,IR - Irrigation from Natural Stream,,,Loup,Lower Loup,2A - Loup River,"Loup River, North",76.000000000000000,1.090000000000000,CFS,3/18/1932 0:00:00,-99.575745869678940,41.857326984787562
5731,1,11021,A-18810,NE NW S01 T31N-R02E,2,1,31,2,1,101701011107.000000000000000,Active,IR - Irrigation from Natural Stream,,,Cedar,Lewis & Clark,2F - Upper Missouri River and Tributaries,Bow Creek,72.700000000000003,1.040000000000000,CFS,9/12/2011 0:00:00,-97.145599371171713,42.695555894917511
5732,1,11024,A-18813,NE SW S19 T14N-R12E,10,19,14,12,1,102300060102.000000000000000,Active,ST - Storage,,,Sarpy,Papio-Missouri River,2F - Upper Missouri River and Tributaries,"Papillion Creek, South, Trib. To",,1700.000000000000000,AF,9/22/2011 0:00:00,-96.111076787856149,41.166878063567317
5733,1,11023,A-18812,NE SE S24 T14N-R11E,14,24,14,11,1,102300060102.000000000000000,Active,ST - Storage,,,Sarpy,Papio-Missouri River,2F - Upper Missouri River and Tributaries,"Papillion Creek, South, Trib. To",,70.000000000000000,AF,9/22/2011 0:00:00,-96.120256638692325,41.166932536788963
5734,1,11025,A-18814,SE SE S25 T14N-R11E,16,25,14,11,1,102300060102.000000000000000,Active,ST - Storage,,,Sarpy,Papio-Missouri River,2F - Upper Missouri River and Tributaries,"Papillion Creek, South, Trib. To",,93.000000000000000,AF,9/22/2011 0:00:00,-96.120266543655177,41.149327419588793
5735,1,9114,A-892,SW SE S20 T33N-R56W,15,20,33,56,2,101201080101.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Warbonnet Creek,104.000000000000000,1.500000000000000,CFS,3/11/1908 0:00:00,-103.942314296551103,42.818295337416515
5736,1,9134,A-1470,NW SW S13 T33N-R56W,9,13,33,56,2,101201080101.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Cornelius Jordan Reservoir,102.379999999999995,1.400000000000000,CFS,1/14/1915 0:00:00,-103.872944220019235,42.834112971821170
5737,1,9182,A-1676,NW NW S35 T34N-R57W,1,35,34,57,2,101201080107.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Turner Reservoir,69.200000000000003,1.000000000000000,CFS,7/3/1922 0:00:00,-104.010075766263668,42.885567976601273
5738,1,9183,A-1677,NW NW S35 T34N-R57W,1,35,34,57,2,101201080107.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Turner Reservoir,117.400000000000006,1.680000000000000,CFS,7/3/1922 0:00:00,-104.010075766263668,42.885567976601273
5739,1,9088,A-1683,NW SE S13 T33N-R57W,13,13,33,57,2,101201080101.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Caladonia Reservoir,13.800000000000001,0.350000000000000,CFS,7/20/1922 0:00:00,-103.983163027301501,42.834384722155164
5740,1,9089,A-1683,NW SE S13 T33N-R57W,13,13,33,57,2,101201080101.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Caladonia Reservoir,11.000000000000000,0.350000000000000,CFS,7/20/1922 0:00:00,-103.983271883166722,42.834420773087182
5741,1,9030,A-341,SW SW S23 T33N-R55W,11,23,33,55,2,101201080104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Hat Creek,26.000000000000000,0.370000000000000,CFS,5/19/1896 0:00:00,-103.778134202540741,42.817475390765935
5742,1,9032,A-342,NE NE S18 T32N-R54W,6,18,32,54,2,101201080104.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,"Boggy Creek, Middle",25.000000000000000,0.360000000000000,CFS,4/13/1895 0:00:00,-103.698485563736398,42.754546894730744
5743,1,9164,A-451,SW NE S26 T33N-R54W,7,26,33,54,2,101201080106.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,"Jim Creek, East, Trib. To",2.000000000000000,0.030000000000000,CFS,5/12/1898 0:00:00,-103.651055204649197,42.806218344477251
5744,1,9129,A-841,NW SW S13 T33N-R56W,9,13,33,56,2,101201080101.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Monroe Creek,154.379999999999995,2.200000000000000,CFS,11/12/1906 0:00:00,-103.875304928517878,42.835527666543655
5745,1,9130,A-841,SW NW S13 T33N-R56W,3,13,33,56,2,101201080101.000000000000000,Active,SI - Supplemental Irrigation (irrig. from reservoir on lands also covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Cornelius Jordan Reservoir,154.379999999999995,0.000000000000000,AF,11/12/1906 0:00:00,-103.875342339223607,42.835526649683509
5746,1,2506,A-17127,SW NW S17 T01N-R01E,3,17,1,1,1,102702070206.000000000000000,Active,IR - Irrigation from Natural Stream,,,Jefferson,Little Blue,1C - Little Blue River,Rose Creek,37.000000000000000,0.530000000000000,CFS,11/18/1991 0:00:00,-97.346149758802341,40.053327131306894
5747,1,4092,A-7907,NE SE S02 T01N-R07E,14,2,1,7,1,102702020606.000000000000000,Active,IR - Irrigation from Natural Stream,,,Gage,Lower Big Blue,1D - Big Blue River,"Blue River, Big",88.900000000000006,1.110000000000000,CFS,8/15/1955 0:00:00,-96.600302221961499,40.078262271009280
5748,1,9112,A-1967,NE SW S19 T33N-R56W,10,19,33,56,2,101201080101.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,Geike Creek,30.000000000000000,0.430000000000000,CFS,11/4/1927 0:00:00,-103.965521627286776,42.819335217865110
5749,1,5612,A-14280,NE SW S24 T24N-R25W,10,24,24,25,2,102100060604.000000000000000,Active,IR - Irrigation from Natural Stream,,,Blaine,Upper Loup,2A - Loup River,"Loup River, North",156.000000000000000,2.230000000000000,CFS,6/22/1976 0:00:00,-100.162218790469097,42.032994437679051
5750,1,6037,A-12994,NW NW S06 T15N-R06W,1,6,15,6,2,102100090208.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Loup River,151.199999999999989,2.160000000000000,CFS,3/14/1974 0:00:00,-98.059183220140156,41.304979602140016
5751,1,6432,A-3517,NW SW S32 T17N-R01E,9,32,17,1,1,102100090605.000000000000000,Active,IR - Irrigation from Natural Stream,,,Platte,Lower Loup,2A - Loup River,Barnum Creek,150.900000000000006,1.080000000000000,CFS,10/10/1941 0:00:00,-97.348778460516868,41.399007061291627
5752,1,9064,A-2286,NW NE S06 T32N-R55W,5,6,32,55,2,101201080102.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Crystal Lake Reservoir,80.000000000000000,80.000000000000000,AF,8/22/1927 0:00:00,-103.819435201597273,42.782313469373676
5753,1,9200,A-3405,SE NE S16 T34N-R55W,8,16,34,55,2,101201080107.000000000000000,Active,ST - Storage,,,Sioux,Upper Niobrara-White,2E - Hat Creek,"Antelope Creek, Trib. To",,137.000000000000000,AF,2/28/1941 0:00:00,-103.801159375443092,42.925471360501696
5754,1,9185,A-3871,SW SW S13 T34N-R57W,11,13,34,57,2,101201080107.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Schnurr Reservoir No. 2,262.899999999999977,0.000000000000000,AF,10/10/1944 0:00:00,-103.988939627554785,42.916161084179599
5755,1,9160,A-3970,SW NW S29 T33N-R54W,3,29,33,54,2,101201080106.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Serres Reservoir No. 2,58.899999999999999,55.000000000000000,AF,6/18/1945 0:00:00,-103.714118187978372,42.807751008974790
5756,1,9163,A-4087,SE NE S29 T33N-R54W,8,29,33,54,2,101201080106.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Merlo Reservoir,23.000000000000000,0.000000000000000,AF,5/21/1946 0:00:00,-103.703692954153539,42.809510607036522
5757,1,9039,A-4639,NW SE S02 T32N-R55W,13,2,32,55,2,101201080104.000000000000000,Active,ST - Storage,,,Sioux,Upper Niobrara-White,2E - Hat Creek,"Boggy Creek, West",,43.100000000000001,AF,4/11/1950 0:00:00,-103.741856200022667,42.777378926720651
5758,1,6509,A-12133,LOT11 S06 T16N-R03E,27,6,16,3,1,102002010306.000000000000000,Active,IR - Irrigation from Natural Stream,,,Butler,Lower Platte North,2A - Loup River,Platte River,147.000000000000000,2.100000000000000,CFS,12/28/1970 0:00:00,-97.130731198667320,41.384027031917135
5759,1,6412,A-17772,SW NE S07 T20N-R06W,7,7,20,6,2,102100090402.000000000000000,Active,IR - Irrigation from Natural Stream,,,Boone,Lower Loup,2A - Loup River,Beaver Creek,144.699999999999989,1.200000000000000,CFS,6/15/1999 0:00:00,-98.052014828268014,41.721118179968805
5760,1,5944,A-17934,SW SE S14 T15N-R10W,15,14,15,10,2,102100070707.000000000000000,Active,IR - Irrigation from Natural Stream,,,Howard,Lower Loup,2A - Loup River,"Loup River, North",144.500000000000000,1.140000000000000,CFS,11/14/2000 0:00:00,-98.431407649587612,41.265997004610497
5761,1,5935,A-5194,SW SE S14 T15N-R10W,15,14,15,10,2,102100070707.000000000000000,Active,IR - Irrigation from Natural Stream,,,Howard,Lower Loup,2A - Loup River,"Loup River, North",144.500000000000000,0.920000000000000,CFS,2/28/1953 0:00:00,-98.431407649587612,41.265997004610497
5762,1,9202,A-4768,SE NW S06 T34N-R54W,4,6,34,54,2,101201080103.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Semroska Reservoir,69.599999999999994,44.000000000000000,AF,4/21/1950 0:00:00,-103.730515372686554,42.953440824236125
5763,1,9146,A-4779,NW SE S10 T33N-R57W,13,10,33,57,2,101201080105.000000000000000,Active,IR - Irrigation from Natural Stream,,,Sioux,Upper Niobrara-White,2E - Hat Creek,"Squaw Creek, South",32.500000000000000,0.470000000000000,CFS,12/19/1950 0:00:00,-104.020598092652875,42.847168971654483
5764,1,9232,A-4829,NE NW S30 T35N-R55W,2,30,35,55,2,101201080206.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Henry Reservoir No. 2,72.700000000000003,46.000000000000000,AF,5/17/1950 0:00:00,-103.846491875996463,42.985581468052686
5765,1,9233,A-4830,NE SW S19 T35N-R55W,10,19,35,55,2,101201080206.000000000000000,Active,SO - Stor-only (irrigation from a reservoir on lands not covered by a natural flow appropriation),,,Sioux,Upper Niobrara-White,2E - Hat Creek,Henry Reservoir No. 1,73.400000000000006,48.000000000000000,AF,5/17/1950 0:00:00,-103.846128770017955,42.991034568263601
5766,1,5316,A-14918,NE NE S20 T14N-R20W,6,20,14,20,2,102100040309.000000000000000,Active,IR - Irrigation from Natural Stream,,,Custer,Lower Loup,2A - Loup River,"Loup River, South",143.000000000000000,2.040000000000000,CFS,4/25/1977 0:00:00,-99.629176594027911,41.174236506921773
5767,1,5929,A-3440BR,NW SW S13 T15N-R08W,9,13,15,8,2,102100090207.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Loup River,143.000000000000000,0.190000000000000,CFS,5/7/1941 0:00:00,-98.191539645924053,41.268195006938640
5768,1,6036,A-11438BR,NW SW S13 T15N-R08W,9,13,15,8,2,102100090207.000000000000000,Active,IR - Irrigation from Natural Stream,,,Nance,Lower Loup,2A - Loup River,Loup River,143.000000000000000,1.310000000000000,CFS,5/31/1968 0:00:00,-98.191539645924053,41.268195006938640
