Water System No,Water System Name,Principal County Served,Federal Water System Type CODE,Federal Water System Type,State Water System Type CODE,State Water System Type,Water System Status CODE,System Status,Owner Type CODE,Owner Type,Primary Water Source Type CODE,Primary Water Source Type,Residential Population,Non-Transient Population,Transient Population,Total Population,Number of Agricultural Service Connections (AG),Number of Combined Service Connections (CB),Number of Commercial Service Connections (CM),Number of Institutional Service Connections (IN),Number of Residential Service Connections (RS),Total Number of Service Connections,Fee Code,Fee Code Description,Date of Sanitary Survey visit (SNSV Visit Date),CITY,Treatment Plant Class CODE,Treatment Plant Class,Distribution System Class CODE,Distribution System Class
CA3301502,PARADISE VALLEY MWC,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,30,NULL,NULL,30,NULL,NULL,NULL,NULL,19,19,SC,Small Community,10/27/2020,MOUNTAIN CENTER,NULL,,D1,Distribution Operator Level 1
CA3301510,PINE SPRINGS RANCH,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,10,2,50,62,NULL,NULL,21,1,6,28,N1,Transient Non-Community Water System,4/29/2020,MOUNTAIN CENTER,NULL,,NR,Not Required
CA3301511,PINYON CREST HOA,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,104,NULL,NULL,104,NULL,NULL,NULL,NULL,90,90,SC,Small Community,10/2/2018,PINYON PINES,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301512,PINYON PINES COUNTY WATER DIST,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,160,NULL,NULL,160,NULL,NULL,2,NULL,80,82,SC,Small Community,4/23/2019,MOUNTAIN CENTER,NULL,,D1,Distribution Operator Level 1
CA3301528,OAK HAVEN ASSOCIATION,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,92,NULL,NULL,92,NULL,40,NULL,NULL,NULL,40,SC,Small Community,10/17/2019,TEMECULA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3301529,RAMONA WATER COMPANY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,250,NULL,NULL,250,NULL,83,NULL,NULL,NULL,83,SC,Small Community,3/27/2019,ANZA,NULL,,D1,Distribution Operator Level 1
CA3301534,RANCHO CALIMESA MOBILE HOME PARK,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,275,NULL,NULL,275,NULL,NULL,NULL,NULL,208,208,SC,Small Community,1/6/2020,CALIMESA,NULL,,D1,Distribution Operator Level 1
CA3301535,RANCHO CARRILLO MWC,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,210,NULL,NULL,210,NULL,74,NULL,NULL,NULL,74,SC,Small Community,2/21/2020,MURRIETA,NULL,,D1,Distribution Operator Level 1
CA3301541,RECHE CANYON MUTUAL WATER CO.,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,150,NULL,NULL,150,NULL,49,NULL,NULL,NULL,49,SC,Small Community,2/8/2019,COLTON,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3301557,EOC WELL - PALM SPRINGS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,NULL,NULL,25,25,NULL,NULL,1,1,NULL,2,N1,Transient Non-Community Water System,3/6/2017,PALM SPRINGS,TD,Treatment or distribution operator of any grade,NR,Not Required
CA3301564,HURKEY CREEK - RIV. CO. PARKS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,6,NULL,500,506,5,NULL,134,NULL,2,141,N1,Transient Non-Community Water System,12/12/2017,MOUNTAIN CENTER,NULL,,NR,Not Required
CA3301567,LAWLER PARK - RIV.COUNTY PARKS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,1,NULL,25,26,NULL,6,NULL,NULL,NULL,6,N1,Transient Non-Community Water System,3/25/2020,IDYLLWILD,NULL,,NR,Not Required
CA3301568,MAYFLOWER PARK,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,2,NULL,95,97,NULL,NULL,1,NULL,161,162,N1,Transient Non-Community Water System,2/7/2018,BLYTHE,NULL,,NR,Not Required
CA3301570,MCCALL PARK - RIV.COUNTY PARKS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,3,NULL,50,53,NULL,16,NULL,NULL,NULL,16,N1,Transient Non-Community Water System,3/7/2018,MOUNTAIN CENTER,NULL,,NR,Not Required
CA3301571,DESTINY MCINTYRE RV CAMPGROUND,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,1,NULL,60,61,1,NULL,185,NULL,NULL,186,N1,Transient Non-Community Water System,2/10/2016,BLYTHE,NULL,,NR,Not Required
CA3301577,CSA 62,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,700,NULL,NULL,700,NULL,NULL,4,NULL,108,112,SC,Small Community,6/10/2020,RIPLEY,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3301588,ROYAL CARRIZO HOA,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,25,NULL,NULL,25,NULL,NULL,NULL,NULL,20,20,SC,Small Community,2/3/2020,MTN. CENTER (PINYON PINES),T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3301593,COYOTE SPRINGS VILLAGE,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,26,26,NULL,14,NULL,NULL,NULL,14,N1,Transient Non-Community Water System,2/10/2016,DESERT CENTER,NULL,,NR,Not Required
CA3301622,SILENT VALLEY CLUB,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,211,NULL,211,NULL,800,NULL,NULL,NULL,800,SP,Non-Transient Non-Community Water System,3/24/2017,BANNING,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301630,BLYTHE - HIDDEN BEACHES,RIVERSIDE,C,Community,C,Community,A,Active,L,Local,GW,Groundwater,373,NULL,NULL,373,5,NULL,NULL,NULL,113,118,SC,Small Community,12/19/2017,BLYTHE,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301631,SKYLAND RANCH CAMP,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,5/12/2016,BANNING,NULL,,NR,Not Required
CA3301642,RIVER OASIS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,60,60,NULL,NULL,NULL,NULL,21,21,N1,Transient Non-Community Water System,1/15/2020,BLYTHE,NULL,,NR,Not Required
CA3301643,SPRING CREST WATER & POWER,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,15,15,NULL,10,NULL,NULL,NULL,10,SC,Small Community,4/21/2015,SAN BERNARDINO NATIONAL FOREST,NULL,,D1,Distribution Operator Level 1
CA3301644,STAGECOACH INN,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,303,303,NULL,5,NULL,NULL,NULL,5,N1,Transient Non-Community Water System,8/6/2020,AGUANGA,NULL,,NR,Not Required
CA3301648,SUGARLOAF CAFE,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,NULL,25,27,NULL,NULL,1,NULL,1,2,N1,Transient Non-Community Water System,11/14/2018,MOUNTAIN CENTER,TD,Treatment or distribution operator of any grade,NR,Not Required
CA3301656,LIVING FREE ANIMAL SANCTUARY,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,8,NULL,NULL,NULL,8,XS,State Small Water System,NULL,MOUNTAIN CENTER,NULL,,NULL,
CA3301676,THOMAS MOUNTAIN WATER COMPANY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,162,NULL,NULL,162,NULL,NULL,NULL,NULL,57,57,SC,Small Community,10/11/2017,MOUNTAIN CENTER,NULL,,D1,Distribution Operator Level 1
CA3301682,TRAILS END MUTUAL WATER COMPANY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,52,NULL,NULL,52,NULL,NULL,NULL,NULL,34,34,SC,Small Community,12/12/2017,MOUNTAIN CENTER,NULL,,D1,Distribution Operator Level 1
CA3301683,THOUSAND TRAILS PALM SPRINGS - MHC,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,125,125,NULL,NULL,195,NULL,NULL,195,N1,Transient Non-Community Water System,2/13/2019,PALM DESERT,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301687,TUCALOTA SPRINGS R.V. PARK,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,40,40,NULL,51,NULL,NULL,NULL,51,N1,Transient Non-Community Water System,3/24/2017,HEMET,NULL,,NR,Not Required
CA3301690,TWIN PINES BOYS RANCH,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,L,Local,GW,Groundwater,2,NULL,28,30,NULL,60,NULL,NULL,NULL,60,SC,Small Community,4/24/2019,BANNING,NULL,,D1,Distribution Operator Level 1
CA3301693,DRIPPING SPRINGS CG- USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,32,32,NULL,12,NULL,NULL,NULL,12,N1,Transient Non-Community Water System,10/6/2016,AGUANGA,NULL,,NR,Not Required
CA3301699,CINCO POSES CAMP - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,40,40,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,9/23/2015,IDYLLWILD,NULL,,NR,Not Required
CA3301701,DARK CANYON CAMPGROUND - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,40,40,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,9/9/2016,IDYLLWILD,NULL,,NR,Not Required
CA3301704,KEENWILD STATION - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,35,35,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,7/15/2015,IDYLLWILD,NULL,,NR,Not Required
CA3301706,MARION MTN/ FERN BASIN - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,40,40,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,6/3/2020,ALANDALE,NULL,,NR,Not Required
CA3301709,VISTA GRANDE STATION - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,15,15,30,NULL,4,NULL,NULL,NULL,4,N1,Transient Non-Community Water System,4/10/2019,IDYLLWILD,NULL,,NR,Not Required
CA3301717,VALLEY VIEW TRAILER PARK,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,135,NULL,NULL,135,NULL,NULL,NULL,NULL,37,37,SC,Small Community,1/16/2020,THERMAL,NULL,,D1,Distribution Operator Level 1
CA3301731,VICTORY RANCH,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,13,NULL,75,88,NULL,16,NULL,NULL,NULL,16,N1,Transient Non-Community Water System,11/10/2015,MORENO VALLEY,NULL,,NR,Not Required
CA3301732,TEQUILA MARKET,RIVERSIDE,NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,,,NULL,NULL,150,150,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,12/1/2009,THERMAL,NULL,,NR,Not Required
CA3301750,WHITEWATER PRESERVE,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,NULL,50,52,1,NULL,2,NULL,1,4,N1,Transient Non-Community Water System,9/6/2017,WHITE WATER,NULL,,NR,Not Required
CA3301756,KKOTTONGNAE RETREAT CAMP,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,5,NULL,75,80,NULL,9,NULL,NULL,NULL,9,SC,Small Community,9/27/2017,TEMECULA,NULL,,NR,Not Required
CA3301758,CARRERA RENTALS,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,12,12,NULL,10,NULL,NULL,NULL,10,XS,State Small Water System,NULL,INDIO,NULL,,NULL,
CA3301775,HIGH VALLEYS WATER DISTRICT,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GWP,Groundwater Purchased,735,NULL,NULL,735,22,NULL,NULL,NULL,226,248,DAVCS,Disadvantaged Small Community Water System,10/8/2019,BANNING,NULL,,D1,Distribution Operator Level 1
CA3301792,LAWRENCE BORBA WATER SYSTEM,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,11,NULL,NULL,NULL,11,XS,State Small Water System,NULL,CORONA,NULL,,NULL,
CA3301797,ANZA COMMUNITY HALL,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,9/8/2017,ANZA,NULL,,NR,Not Required
CA3301800,STONEWOOD CANYON ESTATES,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,40,NULL,NULL,40,NULL,27,NULL,NULL,NULL,27,SC,Small Community,10/4/2017,IDYLLWILD,NULL,,D1,Distribution Operator Level 1
CA3301803,CASTRO TRAILER PARK,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GWP,Groundwater Purchased,180,NULL,NULL,180,NULL,NULL,NULL,NULL,44,44,SC,Small Community,5/28/2020,COACHELLA,NULL,,D1,Distribution Operator Level 1
CA3301850,DELARA RENTALS,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,24,24,NULL,14,NULL,NULL,NULL,14,SC,Small Community,4/4/2013,COACHELLA,NULL,,NULL,
CA3301860,SANTA ROSA SPRINGS - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,25,25,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,5/24/2017,SANTA ROSA MOUNTAIN,NULL,,NR,Not Required
CA3301863,OLIVET UNIVERSITY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,120,75,NULL,195,NULL,48,NULL,NULL,NULL,48,N1,Transient Non-Community Water System,5/17/2019,ANZA,T1,Treatment Operator Level 1,D1,Distribution Operator Level 1
CA3301865,GOLDEN STAG MUTUAL WATER COMPANY,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,24,NULL,24,NULL,14,NULL,NULL,NULL,14,XS,State Small Water System,NULL,NULL,NULL,,NULL,
CA3301876,FERNWOOD ESTATES,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,NULL,20,20,NULL,11,NULL,NULL,NULL,11,XS,State Small Water System,NULL,IDYLLIWLD,NULL,,NULL,
CA3301877,BLOCK 77 WATER COMPANY,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,50,NULL,NULL,50,NULL,NULL,NULL,NULL,18,18,SC,Small Community,2/21/2020,NORCO,NULL,,D1,Distribution Operator Level 1
CA3301879,SHARONDALE MESA HOA,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,330,NULL,NULL,330,23,NULL,NULL,NULL,220,243,SC,Small Community,9/25/2017,CALIMESA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301902,LAKE FULMOR - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,125,125,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,6/3/2020,IDYLLWILD,NULL,,NR,Not Required
CA3301935,"RBI  PACKING, LLC",RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,250,NULL,250,NULL,NULL,NULL,2,NULL,2,SP,Non-Transient Non-Community Water System,9/14/2020,THERMAL,NULL,,NR,Not Required
CA3301937,MESQUITE MUTUAL WATER CO.,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GWP,Groundwater Purchased,42,NULL,NULL,42,NULL,NULL,NULL,NULL,16,16,SC,Small Community,7/24/2019,COACHELLA,NULL,,D1,Distribution Operator Level 1
CA3301939,JEWEL DATE CO. INC.,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,13,75,NULL,88,NULL,NULL,4,NULL,3,7,SP,Non-Transient Non-Community Water System,10/16/2019,THERMAL,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301943,PLANTATION ON THE LAKE PARK,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,883,NULL,NULL,883,NULL,NULL,NULL,NULL,554,554,SC,Small Community,8/16/2017,CALIMESA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301946,COUNTRY CORNERS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,NULL,6,NULL,NULL,6,N1,Transient Non-Community Water System,2/24/2017,ANZA,NULL,,NR,Not Required
CA3301947,CHAPEL IN THE PINES,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,100,100,NULL,9,NULL,NULL,NULL,9,SC,Small Community,11/13/2016,MOUNTAIN CENTER,NULL,,NR,Not Required
CA3301961,OUTDOOR RESORTS RANCHO CA,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,200,200,400,NULL,603,NULL,NULL,NULL,603,,,10/26/2018,AGUANGA,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301977,CHAPMAN RANCHOS,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,12,NULL,12,NULL,6,NULL,NULL,NULL,6,XS,State Small Water System,NULL,PINYON FLATS,NULL,,NULL,
CA3301979,MADISON CENTER WATER SYSTEM,RIVERSIDE,NTNC,Non-Transient Non-Community,NTNC,Non-Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,35,35,70,NULL,NULL,3,NULL,NULL,3,,,3/4/2019,INDIO,TD,Treatment or distribution operator of any grade,D1,Distribution Operator Level 1
CA3301981,SHADOW HILLS RV RESORT,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,6,150,156,NULL,NULL,91,NULL,NULL,91,N1,Transient Non-Community Water System,9/18/2019,INDIO,NULL,,NR,Not Required
CA3301989,ALAMO DISCOUNT STORE,RIVERSIDE,NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,,,NULL,NULL,100,100,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,1/10/2018,THERMAL,NULL,,NR,Not Required
CA3301990,AMEZCUA - GARCIA WATER,RIVERSIDE,C,Community,C,Community,A,Active,P,Private,GW,Groundwater,316,NULL,NULL,316,NULL,NULL,NULL,NULL,113,113,SC,Small Community,1/16/2019,THERMAL,NULL,,D1,Distribution Operator Level 1
CA3301991,APPLE MARKET TWO,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,2,18,500,520,NULL,NULL,1,NULL,1,2,N1,Transient Non-Community Water System,10/30/2019,THERMAL,NULL,,NR,Not Required
CA3301998,50TH AND MONROE PARTNERS LLC,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,11,NULL,NULL,NULL,11,XS,State Small Water System,NULL,INDIO,NULL,,NULL,
CA3302009,SAM S FENCE,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,18,NULL,NULL,18,NULL,8,NULL,NULL,NULL,8,SC,Small Community,11/17/2008,THERMAL,NULL,,NULL,
CA3302018,CAL-TRANS WILEY WELL REST STOP,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GWP,Groundwater Purchased,NULL,NULL,1000,1000,NULL,NULL,1,NULL,NULL,1,N1,Transient Non-Community Water System,4/15/2015,BLYTHE,NULL,,NR,Not Required
CA3302020,GRACE KOREAN CHURCH,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,5/16/2019,CORONA,NULL,,NR,Not Required
CA3302026,LA PLATA WATER SYSTEM,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,3,NULL,NULL,NULL,3,N1,Transient Non-Community Water System,7/31/2019,ANZA,NULL,,NR,Not Required
CA3302038,CALHOUN RANCH,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,5,NULL,NULL,NULL,5,XS,State Small Water System,NULL,COACHELLA,NULL,,NULL,
CA3302039,DE LEON RANCH,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,10,NULL,NULL,NULL,10,XS,State Small Water System,NULL,THERMAL,NULL,,D3,Distribution Operator Level 3
CA3302049,JILBERTO'S RESTAURANT,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,30,30,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,11/20/2015,ANZA,NULL,,NR,Not Required
CA3302051,KENT SEAFARMS CORPORATION,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,12,NULL,12,NULL,6,NULL,NULL,NULL,6,XS,State Small Water System,NULL,MECCA,NULL,,NULL,
CA3302060,CAHUILLA MOUNTAIN MARKET & CAFE,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,25,25,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,11/15/2018,ANZA,TD,Treatment or distribution operator of any grade,NR,Not Required
CA3302062,SPARTAN VETERINARY SERVICES,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,80,80,NULL,1,NULL,NULL,NULL,1,N1,Transient Non-Community Water System,5/8/2020,ANZA,NULL,,NR,Not Required
CA3302063,WILDOMAR OHV - USFS,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,F,Federal Government,GW,Groundwater,NULL,NULL,50,50,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,10/6/2016,ELSINORE,NULL,,NR,Not Required
CA3302072,CAMP FREMONT,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,22,NULL,22,NULL,13,NULL,NULL,NULL,13,XS,State Small Water System,NULL,MECCA,NULL,,NULL,
CA3302077,ACEVES RANCH,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,24,NULL,24,NULL,10,NULL,NULL,NULL,10,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3302079,AIDA AGUIRRE,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,NULL,NULL,NULL,13,NULL,NULL,NULL,13,DD,Dead and Done (Not Active),2/24/2020,THERMAL,NULL,,D1,Distribution Operator Level 1
CA3302081,PEREZ WATER,RIVERSIDE,NP,Non-Public,LSS,Local State Small Systems,A,Active,P,Private,GW,Groundwater,20,NULL,NULL,20,NULL,NULL,NULL,NULL,8,8,SC,Small Community,9/30/2008,THERMAL,NULL,,NULL,
CA3302084,VENCEL LABOR CAMP,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,20,20,NULL,13,NULL,NULL,NULL,13,XS,State Small Water System,5/26/1999,THERMAL,NULL,,NULL,
CA3302086,BELLA VISTA CAMP,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3302088,CASA FINCA,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,GW,Groundwater,NULL,NULL,20,20,NULL,10,NULL,NULL,NULL,10,SC,Small Community,2/21/2013,THERMAL,NULL,,NULL,
CA3302091,ZEN MOUNTAIN CENTER,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,3,NULL,40,43,NULL,NULL,NULL,NULL,6,6,N1,Transient Non-Community Water System,10/11/2017,MOUNTAIN CENTER,NULL,,NR,Not Required
CA3302094,TAHQUITZ PINES CONFERENCE CTR,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,11,NULL,50,61,NULL,41,NULL,NULL,NULL,41,N1,Transient Non-Community Water System,8/5/2015,IDYLLWILD,NULL,,NR,Not Required
CA3302100,RANCHO LOPEZ,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,11,NULL,NULL,NULL,11,XS,State Small Water System,NULL,BERMUDA DUNES,NULL,,NULL,
CA3302102,ANZA PETROLEUM INC,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,NULL,NULL,50,50,NULL,2,NULL,NULL,NULL,2,N1,Transient Non-Community Water System,8/6/2020,ANZA,NULL,,NR,Not Required
CA3302306,HENRY HERNANDEZ WATER,RIVERSIDE,NP,Non-Public,SSWS,State Small Water Systems,A,Active,P,Private,,,NULL,20,NULL,20,NULL,12,NULL,NULL,NULL,12,XS,State Small Water System,NULL,THERMAL,NULL,,NULL,
CA3303002,OASIS PALMS RV RESORT,RIVERSIDE,NC,Transient Non-Community,NC,Transient Non-Community,A,Active,P,Private,GW,Groundwater,1,NULL,80,81,NULL,NULL,55,NULL,NULL,55,N1,Transient Non-Community Water System,3/7/2019,OASIS,T1,Treatment Operator Level 1,NR,Not Required
