OID_,SABL_PWSID,BOUNDARY_T,WATER_SYST,WATER_SY_1,CREATED_US,CREATED_DA,LAST_EDITE,LAST_EDI_1,OBJECTID,ACTIVITY_S,ACTIVITY_D,OWNER_TYPE,COUNTY,POPULATION,REGULATING,FEDERAL_CL,STATE_CLAS,ADDR_LINE_,ADDR_LINE1,ADDRESS_CI,ADDRESS_ST,ADDRESS_ZI,SERVICE_CO,GLOBALID,AC_PHONE_N,AC_EMAIL,BOUNDARY_F,DT_VERIFIE,VERIFIED_S,VERIFIED_N,VERIFIED_T,Shape__Are,Shape__Len,Lat,Long
2546,CA4500082,Water Service Area,CA4500082,MIDWAY MOBILEHOME PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3931,A,4/30/2015 0:00:00,P,SHASTA,50,LPA75 - SHASTA COUNTY,COMMUNITY,COMMUNITY,18790-18794 THOMAS ROAD, ,ANDERSON,CA,96007,29,{E22C46A0-4DB8-456B-87CD-7EF8923DA7CD},805-794-3969,midwaytrailerpark17@gmail.com,WBT Tool,,Not Verified, , ,15877.040285499999300,516.468638043000055,40.488659417299999,-122.359246627999994
2547,CA2010009,Water Service Area,CA2010009,BAKMAN WATER-ROLLING HILLS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3932,A,1/1/1976 0:00:00,P,MADERA,1106,DISTRICT 11 - MERCED,COMMUNITY,COMMUNITY,Rolling Hills Drive, ,MADERA,CA,93637,339,{3BEFCADF-B1CA-4ECF-A9B2-B5396A8E453C},559-255-0324,TIM@BAKMANWATER.COM,WBT Tool,4/21/2020 0:00:00,Verified,T. Bakman,Water System representative,1932401.362239999929443,6791.757154169999922,36.904902599600000,-119.797207549000007
2548,CA0900505,Water Service Area,CA0900505,CAMP SHELLY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3933,A,7/29/2016 0:00:00,L,EL DORADO,200,LPA39 - EL DORADO COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,MT TALLAC RD, ,SOUTH LAKE TAHOE,CA,96150,15,{D098BD1A-F082-4E70-922B-7A67C0550F11},925-583-4901,DSOLES@LARPD.ORG,WBT Tool,,Not Verified, , ,49548.047190299999784,832.743153387000007,38.931076085000001,-120.068400655999994
2549,CA4900674,Water Service Area,CA4900674,PINE HILL TERRACE MOBILE HOME PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3934,A,3/22/1979 0:00:00,P,SONOMA,27,DISTRICT 18 - SONOMA,COMMUNITY,COMMUNITY,3228 Saint Martin Way, ,SEBASTOPOL,CA,95472,23,{5325F12C-ED32-4AD3-B4AC-94AD62199505},707-823-7997, ,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,14385.406685199999629,554.857789699000023,38.437910065899999,-122.857089990999995
2550,CA3900732,Water Service Area,CA3900732,V & P TRAILER COURT WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3935,A,8/8/2016 0:00:00,P,SAN JOAQUIN,35,LPA69 - SAN JOAQUIN COUNTY,COMMUNITY,COMMUNITY,3232 MUNFORD AVE, ,STOCKTON,CA,95204,15,{BA68BD7F-7E87-499B-BDF3-B313C7DCDD5D},209-649-0165,ammad@shoptwm.com,WBT Tool,,Not Verified, , ,8839.721692420000181,379.291628586000002,37.927804907300001,-121.232974880000000
2551,CA1503290,Water Service Area,CA1503290,THE GARLIC COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3936,A,1/1/1976 0:00:00,P,KERN,120,DISTRICT 12 - VISALIA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,18602 ZERKER ROAD, ,SHAFTER,CA,93314,1,{7B87FD39-54E2-47E9-8296-908F08072E3B},661-393-4212,jlayous@thegarliccompany.com,WBT Tool,,Not Verified, , ,1882590.563249999890104,5896.357432279999557,35.481619411200001,-119.161861000000002
2552,CA3600306,Water Service Area,CA3600306,THUNDERBIRD CWD,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3937,A,3/22/1979 0:00:00,L,SAN BERNARDINO,997,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,24737 STANDING ROCK ROAD, ,APPLE VALLEY,CA,92307,302,{66447C66-6D79-4598-B498-EFEB2B5829B2},760-247-2503,tcwdoffice@gmail.com,WBT Tool,,Not Verified, , ,7513050.949310000054538,13620.883850500000335,34.523509340099999,-117.118135816000006
2553,CA4300525,Water Service Area,CA4300525,MELODY WOODS WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3938,A,3/22/1979 0:00:00,P,SANTA CLARA,168,DISTRICT 17 - SANTA CLARA,COMMUNITY,COMMUNITY,TOM GRAY,17035 MELODY LANE,LOS GATOS,CA,95033,51,{F4B6CD02-D27A-4231-B936-7C720D9272C8},408-502-6574,lorenzo@melodywoods.com,WBT Tool,,Not Verified, , ,617697.918687999946997,3231.356346189999840,37.144694657700001,-121.975751587999994
2554,CA0400161,Water Service Area,CA0400161,COHASSET INDUSTRIAL PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3939,A,7/28/2016 0:00:00,P,BUTTE,47,LPA34 - BUTTE COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,3199 Plumber Ln, ,CHICO,CA,95973,22,{20DA7E84-FA47-4575-A80E-5E3E7E808F96},530-899-5511,kimberly@chico.com,WBT Tool,,Not Verified, , ,33307.820889900001930,921.864395601999945,39.789143685399999,-121.843196550000002
2555,CA4900945,Water Service Area,CA4900945,PRESENTATION SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3942,A,6/30/1983 0:00:00,P,SONOMA,200,DISTRICT 18 - SONOMA,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,20872 Broadway, ,SONOMA,CA,95476,4,{E07803FE-C728-4C08-A53B-977AE15C8847},707-935-0122,jgallo@presentationschool.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,31496.623882399999275,804.897941964999973,38.269629576500002,-122.459964279999994
2556,CA1500216,Water Service Area,CA1500216,OPAL FRY AND SON,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3943,A,12/3/1992 0:00:00,P,KERN,28,DISTRICT 12 - VISALIA,COMMUNITY,COMMUNITY,10103A HWY 166, ,BAKERSFIELD,CA,93313,11,{C7997460-6EEA-408E-8291-72F7441A8202},661-858-2523,colby@fryag.com,WBT Tool,3/25/2020 0:00:00,Verified,C. FRY,Water System representative,1087515.269640000071377,4179.383470310000121,35.055664185399998,-119.034198223999994
2557,CA2701151,Water Service Area,CA2701151,GREEN VALLEY FLORAL-POTTER RD WS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3944,A,8/1/2016 0:00:00,P,MONTEREY,25,LPA57 - MONTEREY COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,SALINAS,CA,93908,4,{8D99364F-DF7E-42E5-8DFE-77F9EE7DC6BA},831-449-2475,janet@greenvalleyfloral.com,WBT Tool,,Not Verified, , ,315385.622679999971297,2335.508320569999796,36.624084449700000,-121.532686374999997
2558,CA1400528,Water Service Area,CA1400528,CRYSTAL GEYSER BOTTLING PLANT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3945,A,4/30/2015 0:00:00,P,INYO,120,DISTRICT 13 - SAN BERNARDINO,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,OLANCHA,CA,93549,4,{518E2FD5-DA39-4386-BFD5-9393BE539691},760-764-1837,t.moore@cgroxane.com,WBT Tool,,Not Verified, , ,249953.371444999997038,2473.729126870000073,36.304815184100001,-118.021456006999998
2559,CA1400070,Water Service Area,CA1400070,SIERRA GRANDE ESTATES MUTUAL WATER CO.,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3946,A,4/30/2015 0:00:00,P,INYO,200,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,"P. O. BOX 1313, BISHOP, CA  93515",RAWSON CREEK & SIERRA LADERA,BISHOP,CA,93514,49,{CC90B0D6-9132-45D6-B02B-170064C41104},760-873-7230,richthumper@gmail.com,WBT Tool,,Not Verified, , ,231784.205677999998443,1962.111746920000087,37.287140577400002,-118.388112753000001
2560,CA2800023,Water Service Area,CA2800023,RUTHERFORD HILL MUTUAL WATER,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3947,A,9/4/2015 0:00:00,P,NAPA,232,LPA58 - NAPA COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,180 RUTHERFORD HILL ROAD, ,RUTHERFORD,CA,94573,2,{2EB1FF3D-4670-4715-98C9-4B342A42CDAC},707-967-3123,kevin.krueger@aubergeresorts.com,WBT Tool,,Not Verified, , ,1012554.160840000025928,4669.337039609999920,38.493891435599998,-122.408261155999995
2561,CA2210936,Water Service Area,CA2210936,STONERIDGE MOBILE HOME PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3948,A,4/30/2003 0:00:00,P,MARIPOSA,21,DISTRICT 11 - MERCED,NON-PUBLIC,STATE SMALL WATER SYSTEM,4878 LEONARD ROAD, ,MARIPOSA,CA,95338,14,{EE40591A-A0D8-4315-B7F3-D82DAA328E80},209-742-5216,hippiehart@me.com,WBT Tool,,Not Verified, , ,168811.086316000000807,1662.836526309999954,37.449455399100003,-119.804964115000004
2562,CA2600532,Water Service Area,CA2600532,LUNDY MUTUAL WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3949,A,8/2/2016 0:00:00,L,MONO,70,LPA56 - MONO COUNTY,COMMUNITY,COMMUNITY,Lundy Lake Rd., ,LEE VINING,CA,93541,32,{C15ADC61-83C8-49A7-ADBC-24017418532D},760-914-0909,sdipper535@gmail.com,WBT Tool,,Not Verified, , ,293192.257105999975465,2891.858100519999880,38.027336483100001,-119.241612931999995
2563,CA1910173,Water Service Area,CA1910173,"WHITTIER-CITY, WATER DEPT.",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3950,A,3/22/1979 0:00:00,L,LOS ANGELES,49954,DISTRICT 07 - HOLLYWOOD,COMMUNITY,COMMUNITY,13230 E. PENN STREET,12016 E. HADLEY STREET,WHITTIER,CA,90602,11562,{5B5D7F2E-47E1-454C-96A7-FD4DC78AF264},562-567-9566,rcordero@cityofwhittier.org,WBT Tool,,Pending, , ,25140581.874800000339746,40737.373292900003435,33.981908014799998,-118.037755840000003
2564,CA1310007,Water Service Area,CA1310007,HEBER PUBLIC UTILITY DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3952,A,1/1/1976 0:00:00,P,IMPERIAL,6979,DISTRICT 14 - SAN DIEGO,COMMUNITY,COMMUNITY,1078 DOGWOOD RD. # 103, ,HEBER,CA,92249,1632,{E8A67F0F-4C53-4A20-AB1A-770DBEA2A589},760-482-2440,LFISCHER@HEBER.CA.GOV,WBT Tool,,Not Verified, , ,5809865.293820000253618,13960.905838399999993,32.729118359399997,-115.529484495000005
2565,CA4310006,Water Service Area,CA4310006,CITY OF MORGAN HILL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3955,A,1/1/1976 0:00:00,L,SANTA CLARA,46454,DISTRICT 17 - SANTA CLARA,COMMUNITY,COMMUNITY,100 EDES COURT, ,MORGAN HILL,CA,95037,14593,{929C685D-EFE3-4EC8-8895-591827488556},408-776-7333,clint.byrum@morganhill.ca.gov,WBT Tool,,Not Verified, , ,52633788.618400000035763,108588.835714999993797,37.132555959599998,-121.642070412999999
2566,CA2701940,Water Service Area,CA2701940,MONTEREY MUSHROOMS WS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3956,A,8/1/2016 0:00:00,P,MONTEREY,450,LPA57 - MONTEREY COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,WATSONVILLE,CA,95076,2,{685F7D70-BA0A-4924-8CD0-FAA0F428C47E},831-274-5511,dghiglione@montmush.com,WBT Tool,,Not Verified, , ,4316.132362850000391,303.679248642999994,36.814413820299997,-121.642063035000007
2567,CA4700585,Water Service Area,CA4700585,JUNCTION ELEMENTARY SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3957,A,3/22/1979 0:00:00,L,SISKIYOU,40,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,GENERAL DELIVERY,GENERAL DELIVERY,SOMES BAR,CA,95568,1,{54FE924B-53D8-4416-8D93-527356D08FE0},530-463-3373,lcornwell@junction.k12.ca.us,WBT Tool,,Not Verified, , ,19004.586182200000621,565.398326988999997,41.392131761199998,-123.496215573000001
2568,CA4700582,Water Service Area,CA4700582,GAZELLE SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3958,A,3/22/1979 0:00:00,L,SISKIYOU,60,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,P.O.Box 6,CALLAHAN-GAZELLE ROAD,GAZELLE,CA,96034,1,{7E4587CE-BCB1-4C75-94DD-B7D54C9808C4},530-842-3653,jthomas@sisnet.ssku.k12.ca.us,WBT Tool,,Not Verified, , ,53102.306222500003059,925.488557987000036,41.520408568100002,-122.524440648999999
2569,CA4500317,Water Service Area,CA4500317,"SHASTA CSA - FRENCH GULCH, #11",SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3960,A,3/1/2014 0:00:00,L,SHASTA,277,DISTRICT 02 - LASSEN,COMMUNITY,COMMUNITY,1855 PLACER ST,FRENCH GULCH,FRENCH GULCH,CA,96033,84,{9C081649-0708-4474-81F3-D27D679D6B58},530-225-5661,vtrotter@co.shasta.ca.us,WBT Tool,9/2/2019 0:00:00,Verified,K. Connaughton,District / LPA staff member,4161008.016580000054091,10590.263906100000895,40.710347200100003,-122.633080466999999
2570,CA1900767,Water Service Area,CA1900767,GOLDEN VALLEY MUNICIPAL WATER DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3961,A,8/8/2016 0:00:00,P,LOS ANGELES,70,LPA49 - LA COUNTY,COMMUNITY,COMMUNITY,49744 GORMAN POST ROAD, ,GORMAN,CA,93243,18,{E2A43823-324F-4584-AB26-A27A34EBB41A},661-248-8501,GVMWD2019@GMAIL.COM,WBT Tool,,Pending,F. Springer,Water System representative,50346211.184000000357628,44688.245907399999851,34.794336236699998,-118.829748152999997
2571,CA2000595,Water Service Area,CA2000595,MADERA MH & RV PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3962,A,4/30/2015 0:00:00,P,MADERA,450,LPA50 - MADERA COUNTY,COMMUNITY,COMMUNITY,2169 W. KENNEDY ST. # 51, ,MADERA,CA,93637,99,{58A3FDE3-CD77-410C-B68B-A959287E2BB9},650-520-8855,Richard@boavidamhp.com,WBT Tool,,Not Verified, , ,119512.209111999996821,1490.568504289999964,36.983808752999998,-120.093431917999993
2572,CA4700559,Water Service Area,CA4700559,BUTTEVILLE UNION SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3963,A,3/22/1979 0:00:00,L,SISKIYOU,165,DISTRICT 01 - KLAMATH,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY,P.O. BOX 4489,24512 EDGEWOOD ROAD,EDGEWOOD,CA,96094,2,{8AFD5709-FB76-4AAB-93B6-967FAE98D908},530-938-2255,eric.bragg@butteville.k12.ca.us,WBT Tool,,Not Verified, , ,38749.566005200002110,921.966039991000002,41.457304538999999,-122.430961894999996
2573,CA0600027,Water Service Area,CA0600027,TERHEL FARMS TRAILER PARK 01,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3964,A,3/22/1979 0:00:00,P,COLUSA,25,DISTRICT 21 - VALLEY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,7852 GRIDLEY ROAD, ,COLUSA,CA,95932,42,{807E07C8-BBFB-4435-9C2B-62D53D4ADE07},530-476-3000,cphillips@sunvalleyrice.com,WBT Tool,,Not Verified, , ,37002.213012100000924,872.237213837000013,39.361150429799999,-121.927037518000006
2574,CA0400020,Water Service Area,CA0400020,PLEASANT GROVE MHP,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3965,A,7/28/2016 0:00:00,P,BUTTE,327,LPA34 - BUTTE COUNTY,COMMUNITY,COMMUNITY,6986 Lincoln Blvd, ,OROVILLE,CA,95965,88,{2A5E21FC-452A-4871-855A-CCB112C9F211},530-533-5193,wbc@billcope.ca,WBT Tool,,Not Verified, , ,92562.067862099997001,1213.379562650000025,39.443149768100000,-121.553097350000002
2575,CA1900976,Water Service Area,CA1900976,THE OAKS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3966,A,8/8/2016 0:00:00,P,LOS ANGELES,67,LPA49 - LA COUNTY,COMMUNITY,COMMUNITY,18651 PINE CANYON RD, ,LAKE HUGHES,CA,93532,26,{DF1C10C7-20A4-4CB1-A2AB-021B51BF6EA9},661-917-9685,mcurrado@worldimpact.org,WBT Tool,5/15/2020 0:00:00,Verified,G. Stabe,Water System representative,636104.422255999990739,3832.037409999999909,34.688305349099998,-118.456691171000003
2576,CA4901207,Water Service Area,CA4901207,SONOMA COUNTY PARKS-STILLWATER COVE,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3967,A,3/1/1994 0:00:00,L,SONOMA,70,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,22455 Highway 1, ,JENNER,CA,95450,2,{6D6F573A-1FC7-40B0-8D1B-7477221CB703},707-565-2824,david.robinson@sonoma-county.org,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,391694.031946000002790,3210.358512379999866,38.548371986799999,-123.294418100000001
2577,CA4901316,Water Service Area,CA4901316,RUED VINEYARDS,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3968,A,8/5/2005 0:00:00,P,SONOMA,26,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,3850 Dry Creek Road, ,HEALDSBURG,CA,95448,1,{36B9A728-43AA-42BD-A6AD-ABD8B21B7132},707-433-3621,richard.rued@gmail.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,108532.831374999994296,1700.209824060000074,38.657381515300003,-122.926330777000004
2578,CA4700814,Water Service Area,CA4700814,KIDDER CREEK ORCHARD CAMP,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3969,A,6/30/1983 0:00:00,P,SISKIYOU,200,DISTRICT 01 - KLAMATH,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2700_S KIDDER CREEK        RD, ,ETNA,CA,96027,1,{6F2F3458-A5D6-456F-AD9F-E88288E53965},530-467-3265, ,WBT Tool,,Not Verified, , ,1742811.809080000035465,6695.205067240000062,41.528426357100003,-122.953803575999999
2579,CA0901249,Water Service Area,CA0901249,WENCH CREEK CAMPGROUND,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3970,A,7/29/2016 0:00:00,F,EL DORADO,250,LPA39 - EL DORADO COUNTY,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,UNION VALLEY RESERVOIR, ,PLACERVILLE,CA,95667,102,{AA8DEDDC-CB1B-47B9-92E8-A399E04BA541},831-801-5826,ADAM@ROYALELKPARKMANAGEMENT.COM,WBT Tool,,Not Verified, , ,1546806.450859999982640,5393.081693840000298,38.889514074399997,-120.371424637999993
2580,CA5800803,Water Service Area,CA5800803,LOMA RICA WATER COMPANY,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3971,A,7/28/2016 0:00:00,P,YUBA,200,LPA88 - YUBA COUNTY,COMMUNITY,COMMUNITY,11713 VICKIE DR, ,LOMA RICA,CA,95901,70,{82B9946F-7F14-4522-9632-D8D852D5E56A},530-301-8625,tpsatchell@yahoo.com,WBT Tool,,Not Verified, , ,1775762.937859999947250,6414.864037800000006,39.298486322700001,-121.441402854000003
2581,CA5301012,Water Service Area,CA5301012,TRINITY RIVER RESORT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3972,A,1/1/1976 0:00:00,P,TRINITY,10,DISTRICT 01 - KLAMATH,NON-PUBLIC,TRANSIENT NON-COMMUNITY,P.O. BOX 137,RUSH CREEK ROAD,LEWISTON,CA,96052,1,{068E600D-2564-49B6-B2F0-7BF8C6D047A6},530-574-1102,brad_revelli@yahoo.com,WBT Tool,,Not Verified, , ,60071.661517900000035,1016.828652359999978,40.718835159599998,-122.825109803000004
2582,CA3610037,Water Service Area,CA3610037,REDLANDS CITY MUD-WATER DIV,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3973,A,1/1/1976 0:00:00,L,SAN BERNARDINO,78025,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,"30 CAJON STREET, Ste 15A", ,REDLANDS,CA,92373,23644,{16DE7639-7937-4F46-9B87-7CA675B5EAA2},909-798-7658,jharris@cityofredlands.org,WBT Tool,,Not Verified, , ,97868518.065200001001358,126524.713728999995510,34.055117761100000,-117.168514234000000
2583,CA2000589,Water Service Area,CA2000589,MAMMOTH POOL MOBILE HOME PARK,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3974,A,4/30/2015 0:00:00,P,MADERA,60,LPA50 - MADERA COUNTY,COMMUNITY,COMMUNITY,59462 ROAD 225, ,NORTH FORK,CA,93643,32,{028D352B-789E-4755-BE60-8FDA3C4EEC74},209-845-3860,shannon.trent47@gmail.com,WBT Tool,,Not Verified, , ,48724.322683899998083,879.291746882999973,37.189924650599998,-119.463220645000007
2584,CA2700702,Water Service Area,CA2700702,PRUNEDALE MWC,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3975,A,8/1/2016 0:00:00,P,MONTEREY,277,LPA57 - MONTEREY COUNTY,COMMUNITY,COMMUNITY, , ,SALINAS,CA,93907,84,{1ED946C6-30DC-446F-A111-188F5D838A9D},831-227-8443,elizabeth@pacengineering.net,WBT Tool,,Not Verified, , ,3632180.504050000105053,16368.879922100000840,36.773322526999998,-121.640216409000004
2585,CA3610063,Water Service Area,CA3610063,GOLDEN STATE WATER CO - MORONGO DEL SUR,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3977,A,1/1/1976 0:00:00,P,SAN BERNARDINO,1748,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,49634 TWENTY-NINE PALMS HWY., ,MORONGO VALLEY,CA,92256,818,{2A47ADC3-9B51-43E2-BBA0-0CDA45D309EC},760-515-8322,george.zakhari@gswater.com,WBT Tool,8/5/2019 0:00:00,Pending,A. Chakmak,Water System representative,9145690.509299999102950,13919.973521800000526,34.053308240400000,-116.589739793999996
2586,CA1009028,Water Service Area,CA1009028,HARRIS FARMS SOUTH #101-144,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3978,A,3/22/1979 0:00:00,P,FRESNO,160,DISTRICT 23 - FRESNO,COMMUNITY,COMMUNITY,30000 S EL DORADO, ,COALINGA,CA,93210,40,{230A3C1D-CD77-41DD-A762-CAB0CF0E7DF4},559-884-2477,tobymaitland-lewis@harrisfarms.com,WBT Tool,,Not Verified, , ,67646.379336400001193,1404.438757160000023,36.299141171300001,-120.210404629999999
2587,CA3610018,Water Service Area,CA3610018,CUCAMONGA VALLEY WATER DISTRICT,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3979,A,1/1/1976 0:00:00,L,SAN BERNARDINO,198979,DISTRICT 13 - SAN BERNARDINO,COMMUNITY,COMMUNITY,10440 ASHFORD STREET, ,RANCHO CUCAMONGA,CA,91730,48264,{D2186D9A-5ED9-4FB2-AA93-7BE683F52CA5},909-987-2591,adrianav@cvwdwater.com,WBT Tool,,Not Verified, , ,174541222.546000003814697,72742.088981099994271,34.125807968499998,-117.563261252999993
2588,CA1300560,Water Service Area,CA1300560,PINE UNION SCHOOL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3980,A,8/4/2015 0:00:00,L,IMPERIAL,217,LPA43 - IMPERIAL COUNTY,NON-TRANSIENT NON-COMMUNITY,NON-TRANSIENT NON-COMMUNITY, , ,HOLTVILLE,CA,92250,1,{C85E0E81-40DD-403C-90E3-4CF6062EA97F},760-356-2974,celso@husd.net,WBT Tool,,Not Verified, , ,98497.080812999993213,1331.112344590000021,32.893783658899999,-115.382413987999996
2589,CA4901341,Water Service Area,CA4901341,MOLINO CORNER WATER SYSTEM,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3981,A,10/26/2015 0:00:00,P,SONOMA,50,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,2110 HIGHWAY 116 NORTH AND OCCIDENTAL RD, ,SEBASTOPOL,CA,95472,1,{A04E62D6-5495-4861-B3CB-9F10CA7438CE},707-529-5384,mooseh@comcast.net,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,9976.153179549999550,430.935443372000009,38.426291123699997,-122.848865926000002
2590,CA5410048,Water Service Area,CA5410048,PORTERVILLE-JONES CORNER,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3984,A,6/28/2000 0:00:00,L,TULARE,339,DISTRICT 24 - TULARE,COMMUNITY,COMMUNITY,555 NORTH PROSPECT STREET, ,PORTERVILLE,CA,93257,118,{80F15597-90A5-4633-92C6-7F8D8E42B004},559-782-7580,mknight@ci.porterville.ca.us,WBT Tool,,Not Verified, , ,224918.355016999994405,2229.342249540000012,36.068983151700003,-119.101000600000006
2591,CA4901333,Water Service Area,CA4901333,VCA FORESTVILLE VETERINARY HOSPITAL,SBUCKNAM,10/20/2020 0:00:00,SBUCKNAM,10/20/2020 0:00:00,3985,A,1/1/1976 0:00:00,P,SONOMA,26,DISTRICT 18 - SONOMA,TRANSIENT NON-COMMUNITY,TRANSIENT NON-COMMUNITY,5033 Gravenstein Highway North, ,SEBASTOPOL,CA,95472,4,{DA3D885A-B618-4100-9999-A2EFF5B98E05},707-823-7312,jack.long1202@gmail.com,WBT Tool,9/2/2019 0:00:00,Verified,J. Oakley,District / LPA staff member,3834.213720140000078,305.209831317000010,38.457985495700001,-122.873125909999999
