Year,Basin,BasinID,GWDP_Annual,SWDTotal_Annual,GWCTotal_Annual,SWDemandTotal_Annual,TotalNonConsumptiveUse_Annual,NetSurfaceWaterLoss_Annual,,PrecipitationRate_NonPeak,PrecipitationRate_Peak,PrecipitationRate_Annual,PrecipitationVolume_NonPeak,PrecipitationVolume_Peak,PrecipitationVolume_Annual,TotalRecharge,TotalRunoff,TotalET,SuppyTotal_NonPeak,SupplyTotal_Peak,SupplyTotal_Annual,StreamflowAF_NonPeak,StreamflowAF_Peak,StreamflowAF_Annual,StreamflowAFUncapped_NonPeak,StreamflowAFUncapped_Peak,StreamflowAFUncapped_Annual,SWDTotal_NonPeak,SWDTotal_Peak,GWDP_NonPeak,GWDP_Peak,BasinInflows_NonPeak,BasinInflows_Peak,BasinInflows_Annual,LongTermDemandTotal_NonPeak,LongTermDemandTotal_Peak,LongTermDemandTotal_Annual,NearTermDemandTotal_NonPeak,NearTermDemandTotal_Peak,NearTermDemandTotal_Annual,ProjectedLongTermDemandTotal_NonPeak,ProjectedLongTermDemandTotal_Peak,ProjectedLongTermDemandTotal_Annual,SWDemandTotal_NonPeak,SWDemandTotal_Peak,SWDemandTotal_Annual,SWDemand_NonPeak,SWDemand_Peak,SWDemand_Annual,SWDEvaporation_NonPeak,SWDEvaporation_Peak,SWDEvaporation_Annual,GWCIrrigation_NonPeak,GWCIrrigation_Peak,GWCIrrigation_Annual,GWCMunicipal_NonPeak,GWCMunicipal_Peak,GWCMunicipal_Annual,GWCIndustrial_NonPeak,GWCIndustrial_Peak,GWCIndustrial_Annual,GWCTotal_NonPeak,GWCTotal_Peak,GWCTotal_Annual,NetSurfaceWaterLoss_NonPeak,NetSurfaceWaterLoss_Peak,NetSurfaceWaterLoss_Annual,TotalNonConsumptiveUse_NonPeak,TotalNonConsumptiveUse_Peak,TotalNonConsumptiveUse_Annual,InducedGWRecharge_NonPeak,InducedGWRecharge_Peak,InducedGWRecharge_Annual,InstreamFlow_NonPeak,InstreamFlow_Peak,InstreamFlow_Annual,Hydropower_NonPeak,Hydropower_Peak,Hydropower_Annual,BasinOutflows_NonPeak,BasinOutflows_Peak,BasinOutflows_Annual,GWIAcres,SWIAcres,COIAcres,NearTermBalanceNonPeak,NearTermBalance_Peak,NearTermBalance_Annual,LongTermBalance_NonPeak,LongTermBalance_Peak,LongTermBalance_Annual,ProjectedLongTermBalance_NonPeak,ProjectedLongTermBalance_Peak,ProjectedLongTermBalance_Annual
2009,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,LODGEPOLE CREEK,4,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,LOUP,5,89515,169725,415995,205733,1819833,54917,,14,9,23,12038797,7065859,19104656,1481598,596605,17026452,1662936,426821,2089758,1579958,250560,1830518,1666968,252245,1919213,18413,151311,64565,24950,0,0,0,1915083,581395,2496478,1687741,482256,2169998,2010837,610464,2621302,75800,129933,205733,72070,126104,198174,3730,3829,7559,288250,123536,411786,3206,479,3686,450,73,523,291907,124088,415995,4738,50179,54917,1542638,277195,1819833,0,0,0,0,0,0,1542638,277195,1819833,430395,120874,551269,505445,127550,32591,-24805,-55435,-80240,-252147,-154573,-406720,-347901,-183643,-531544
1989,LOUP,5,94051,153377,358229,160823,1713163,54631,,8,8,16,6446686,6365867,12812553,1348566,543309,10920677,1447783,450998,1898781,1354557,296796,1651353,1395165,311144,1706309,23871,129506,69355,24696,0,0,0,1707389,579456,2286845,1525259,497409,2022668,1792758,608429,2401188,64551,96272,160823,58690,95900,154590,5861,372,6233,247755,106181,353936,3209,479,3688,521,83,604,251485,106743,358229,3112,51519,54631,1388241,324922,1713163,0,0,0,0,0,0,1388241,324922,1713163,563503,165638,729141,513966,129284,32929,-77476,-46411,-123887,-259606,-128458,-388064,-344976,-157431,-502407
1990,LOUP,5,93413,161065,360664,170441,1804884,47861,,12,9,21,9735706,6915322,16651028,1435223,572703,14643099,1503284,510004,2013288,1415912,342898,1758810,1426749,381971,1808720,17580,143485,69792,23621,0,0,0,1772992,610858,2383850,1589585,527014,2116599,1861642,641401,2503043,62161,108280,170441,57321,108310,165631,4840,-30,4810,249449,106907,356356,3188,475,3663,562,83,645,253199,107465,360664,4818,43043,47861,1452814,352070,1804884,0,0,0,0,0,0,1452814,352070,1804884,529988,129130,659119,536993,134278,34542,-86302,-17010,-103312,-269709,-100854,-370562,-358358,-131397,-489755
1991,LOUP,5,106352,225393,661223,237957,1638158,64499,,14,6,20,11295966,5066068,16362034,1327358,533440,14501237,1385302,490095,1875397,1272795,270857,1543652,1295266,285469,1580735,35934,189459,76573,29779,0,0,0,1903752,698085,2601837,1516739,530227,2046966,1998940,732989,2731929,91386,146571,237957,87923,140501,228424,3463,6070,9533,459854,197080,656935,3170,473,3644,562,83,645,463586,197637,661223,5611,58888,64499,1343169,294988,1638158,0,0,0,0,0,0,1343169,294988,1638158,363523,47816,411340,546440,135779,35242,-131437,-40132,-171569,-518450,-207990,-726440,-613638,-242894,-856531
1992,LOUP,5,106891,105499,173421,186676,1839282,3178,,13,13,26,9859721,10608087,20467808,1398307,570181,18499322,1411437,559208,1970645,1303033,455222,1758255,1335288,492867,1828155,23853,81646,84551,22340,0,0,0,1620659,581898,2202557,1583088,552940,2136027,1701692,610993,2312685,124860,61817,186676,124067,61947,186013,793,-130,663,118379,50734,169113,3159,471,3630,584,93,677,122122,51299,173421,3178,0,3178,1370499,468783,1839282,0,0,0,0,0,0,1370499,468783,1839282,658965,184355,843321,555529,137352,35846,-171651,6268,-165383,-209222,-22691,-231912,-290255,-51786,-342040
1993,LOUP,5,84056,76585,160832,109755,2072309,18563,,14,17,31,10595038,12985655,23580693,1617044,653648,21310002,1572943,695832,2268775,1475093,633041,2108134,1756813,962609,2719422,27587,48998,70263,13793,0,0,0,1684271,677189,2361460,1641218,643465,2284683,1768484,711048,2479533,72367,37388,109755,71184,40958,112142,1183,-3570,-2387,109524,46939,156463,3159,472,3631,632,106,738,113315,47517,160832,1918,16645,18563,1496670,575639,2072309,0,0,0,0,0,0,1496670,575639,2072309,464512,121976,586488,554386,137429,35976,-68276,52367,-15908,-111328,18643,-92685,-195541,-15216,-210758
1994,LOUP,5,75088,147072,329104,157346,1921826,50314,,10,12,22,8238506,9367293,17605799,1533531,613274,15458993,1604741,548690,2153431,1520525,410746,1931271,1604271,421976,2026247,28820,118252,55396,19692,0,0,0,1801943,656647,2458590,1626222,578352,2204574,1892041,689479,2581520,62120,95226,157346,57037,95795,152832,5083,-569,4514,227272,97402,324674,3185,478,3663,661,107,767,231118,97987,329104,4635,45679,50314,1504071,417755,1921826,0,0,0,0,0,0,1504071,417755,1921826,372131,105587,477718,559464,138301,36440,-21481,-29662,-51143,-197202,-107957,-305159,-287299,-140789,-428088
1995,LOUP,5,89326,179225,402431,186556,1978237,63279,,19,7,26,14944635,5650444,20595079,1632037,659365,18303676,1693364,601158,2294522,1614783,411188,2025971,1770966,437604,2208570,15270,163955,63311,26015,0,0,0,1938839,691665,2630504,1719699,597699,2317399,2035780,726248,2762029,71213,115343,186556,73044,111922,184966,-1831,3421,1590,278593,119397,397990,3190,476,3666,667,108,775,282450,119981,402431,1404,61875,63279,1583772,394466,1978237,0,0,0,0,0,0,1583772,394466,1978237,372607,33011,405619,563260,139519,36948,-26336,3459,-22877,-245475,-90507,-335982,-342417,-125090,-467507
1996,LOUP,5,103117,161954,274366,214038,1937454,29940,,13,9,22,10923975,7126839,18050814,1512726,608476,15929612,1543444,590879,2134323,1419416,449836,1869252,1498669,483258,1981927,43928,118026,80100,23017,0,0,0,1812600,643198,2455798,1699895,584653,2284549,1903230,675357,2578588,130078,83960,214038,128459,81873,210332,1619,2087,3706,188947,80977,269924,3187,476,3664,671,108,779,192805,81561,274366,11496,18444,29940,1478221,459232,1937454,0,0,0,0,0,0,1478221,459232,1937454,437936,95317,533253,572283,140828,37493,-156452,6226,-150226,-269157,-52319,-321475,-359787,-84479,-444265
1997,LOUP,5,98569,183353,433677,223981,1974287,47820,,12,9,21,9103154,7313982,16417136,1578068,635547,14203521,1691892,537440,2229332,1584402,363008,1947410,1774381,373379,2147760,36567,146786,70923,27646,0,0,0,2003482,676283,2679765,1770078,574579,2344657,2103656,710097,2813753,114710,109271,223981,109921,106303,216224,4789,2968,7757,300450,128764,429214,3181,475,3656,697,111,808,304327,129350,433677,8219,39601,47820,1576226,398061,1974287,0,0,0,0,0,0,1576226,398061,1974287,322065,65285,387350,573987,140139,37633,-78186,-37139,-115324,-311590,-138843,-450433,-411764,-172657,-584421
1998,LOUP,5,100713,158747,301679,194896,2185023,34665,,14,11,25,11201522,9062453,20263975,1747179,698718,17818078,1775591,677492,2453083,1670181,523442,2193623,1762273,570483,2332756,27650,131097,77760,22953,0,0,0,2000798,715465,2716264,1866627,648670,2515297,2100838,751239,2852077,98984,95912,194896,96963,94093,191056,2021,1819,3840,208047,89163,297210,3169,473,3643,714,113,827,211931,89749,301679,7531,27134,34665,1682353,502671,2185023,0,0,0,0,0,0,1682353,502671,2185023,345743,115653,461396,585132,142030,38254,-91037,28823,-62214,-225208,-37973,-263181,-325247,-73746,-398994
1999,LOUP,5,96278,168847,350519,181279,2154768,62606,,16,10,26,12318214,7987278,20305492,1748492,708077,17848923,1790838,674123,2464961,1689922,509914,2199836,1738673,572517,2311190,27906,140941,73010,23268,0,0,0,1995965,753207,2749172,1822853,672078,2494931,2095764,790867,2886631,78947,102333,181279,78296,99161,177456,651,3172,3823,242203,103801,346005,3159,471,3630,760,124,884,246122,104397,350519,4121,58485,62606,1666776,487992,2154768,0,0,0,0,0,0,1666776,487992,2154768,374677,68558,443235,585942,141940,38586,-32016,2045,-29971,-205128,-79084,-284212,-304926,-116744,-421670
2000,LOUP,5,112176,234110,616828,278295,1681691,59694,,8,7,15,6983336,5765029,12748365,1354141,545278,10848947,1415359,499603,1914962,1293669,275007,1568676,1293669,279243,1572912,40752,193358,80938,31238,0,0,0,1959766,676743,2636508,1608158,523698,2131856,2057754,710580,2768334,142962,135333,278295,136511,131579,268090,6451,3754,10205,428608,183689,612297,3146,469,3616,791,124,916,432545,184283,616828,11041,48653,59694,1373217,308474,1681691,0,0,0,0,0,0,1373217,308474,1681691,167274,51937,219212,592025,140658,39013,-192800,-24095,-216894,-544407,-177140,-721547,-642395,-210977,-853372
2001,LOUP,5,120585,199332,454552,230454,1797501,58059,,17,8,25,12944802,6547125,19491927,1482912,594720,17414295,1576596,510095,2086690,1465720,301053,1766773,1632704,303449,1936153,22082,177251,88794,31791,0,0,0,1897675,642891,2540566,1667520,539080,2206599,1992559,675035,2667594,111339,119116,230454,109881,114639,224519,1458,4477,5935,315011,135005,450016,3135,468,3603,803,130,933,318949,135602,454552,5127,52932,58059,1462260,335241,1797501,0,0,0,0,0,0,1462260,335241,1797501,388981,113119,502100,602086,140917,39655,-90924,-28985,-119909,-321079,-132796,-453876,-415963,-164941,-580904
2002,LOUP,5,128945,247757,660819,279983,1513939,64892,,10,5,15,7561190,4080841,11642031,1262371,508029,9871631,1361881,424846,1786727,1236492,173533,1410025,1249726,177531,1427257,34755,213002,90634,38311,0,0,0,1903017,616616,2519633,1530314,457446,1987759,1998168,647447,2645615,133804,146179,279983,128504,139826,268330,5300,6353,11653,459400,196886,656286,3122,466,3588,815,130,945,463337,197481,660819,7778,57114,64892,1298097,215842,1513939,0,0,0,0,0,0,1298097,215842,1513939,324089,64432,388521,615766,141916,40590,-168433,-32599,-201032,-541136,-191769,-732906,-636287,-222600,-858887
2003,LOUP,5,134750,217436,556092,281552,1594993,43586,,13,6,19,10484773,4620539,15105312,1288730,521059,13295524,1327802,493870,1821672,1203530,265956,1469486,1212039,267197,1479236,23171,194265,101101,33649,0,0,0,1842556,633667,2476223,1553626,501255,2054881,1934684,665350,2600034,151545,130007,281552,148541,124169,272710,3004,5838,8842,386079,165462,551542,3110,464,3574,843,134,977,390031,166061,556092,5385,38201,43586,1295595,299398,1594993,0,0,0,0,0,0,1295595,299398,1594993,438931,108494,547424,634842,142092,41164,-225824,-7385,-233209,-514754,-139797,-654551,-606882,-171480,-778362
2004,LOUP,5,139635,211721,418372,285473,1550123,27789,,12,8,20,8903117,6669443,15572560,1249507,502110,13820941,1263015,504423,1767438,1111166,304916,1416082,1135441,310152,1445593,43508,168213,108341,31294,0,0,0,1696508,585248,2281757,1511217,491803,2003019,1781334,614511,2395845,173577,111896,285473,169692,107372,277064,3885,4524,8409,289648,124135,413783,3097,462,3559,888,143,1031,293633,124740,418372,13200,14589,27789,1216099,334024,1550123,0,0,0,0,0,0,1216099,334024,1550123,521935,134486,656420,653123,142054,42173,-248202,12620,-235582,-433494,-80826,-514319,-518319,-110088,-628407
2005,LOUP,5,134815,222136,588633,248915,1745315,65014,,16,10,26,12765589,7977894,20743483,1405597,567421,18770466,1415136,573960,1989096,1263651,368494,1632145,1304457,402884,1707341,51104,171032,100381,34434,0,0,0,1924750,723127,2647877,1612301,581758,2194059,2020988,759283,2780271,132843,116072,248915,131220,114310,245530,1623,1762,3385,408782,175192,583975,3083,460,3543,964,151,1115,412830,175803,588633,16953,48061,65014,1362125,383190,1745315,0,0,0,0,0,0,1362125,383190,1745315,445248,113887,559135,677018,142898,43416,-197166,-7797,-204963,-509615,-149167,-658782,-605852,-185323,-791175
2006,LOUP,5,144145,237097,605538,272262,1551417,56691,,8,8,16,6473754,6296320,12770074,1259931,510072,11000069,1352945,434105,1787050,1208813,196995,1405808,1226642,196995,1423637,39647,197450,104485,39660,0,0,0,1882489,603419,2485908,1562259,462256,2024515,1976613,633590,2610203,131099,141163,272262,124202,136654,260856,6897,4509,11406,420402,180172,600574,3071,458,3529,1242,193,1435,424715,180823,605538,11911,44780,56691,1314764,236653,1551417,0,0,0,0,0,0,1314764,236653,1551417,453654,119301,572955,686779,143508,43717,-209314,-28151,-237465,-529544,-169314,-698858,-623668,-199485,-823153
2007,LOUP,5,139103,163127,357014,219532,1862163,31822,,24,8,32,17476767,6321990,23798757,1511277,600436,21687044,1513745,598700,2112445,1397064,413151,1810215,1625547,436206,2061753,12622,150505,104059,35044,0,0,0,1809341,661189,2470531,1662599,590021,2252620,1899808,694249,2594057,117132,102401,219532,122197,100289,222485,-5065,2112,-2953,246244,105533,351777,3059,456,3515,1499,223,1722,250801,106213,357014,8016,23806,31822,1433392,428770,1862163,0,0,0,0,0,0,1433392,428770,1862163,454119,114816,568935,693087,144350,43889,-148854,8679,-140175,-295596,-62490,-358086,-386063,-95549,-481612
2008,LOUP,5,134973,181163,362108,216364,1846679,42606,,18,9,27,13384740,7236544,20621284,1510428,600106,18510750,1478587,641137,2119723,1351762,451825,1803587,1473311,545663,2018974,26343,154821,100482,34491,0,0,0,1773646,694111,2467757,1619739,620883,2240622,1862328,728817,2591145,110050,106314,216364,109256,103266,212522,794,3048,3842,249762,107041,356803,3046,454,3500,1581,223,1804,254389,107719,362108,8055,34551,42606,1401152,445527,1846679,0,0,0,0,0,0,1401152,445527,1846679,316908,83732,400640,696234,145246,44051,-141152,20253,-120899,-295059,-52974,-348034,-383742,-87680,-471421
2009,LOUP,5,138111,158466,272000,199179,2066606,55299,,15,13,28,12111409,10550226,22661635,1663042,659915,20338677,1659314,671003,2330317,1520470,513270,2033740,1598660,570119,2168779,33523,124943,105321,32790,0,0,0,1880692,712391,2593084,1794700,664495,2459194,1974727,748011,2722738,113971,85208,199179,112039,85536,197575,1932,-328,1604,186684,80007,266691,3049,456,3505,1581,223,1804,191314,80687,272000,10955,44344,55299,1564453,502153,2066606,0,0,0,0,0,0,1564453,502153,2066606,447790,170856,618646,697302,145233,44066,-135386,6509,-128877,-221378,-41388,-262766,-315413,-77008,-392421
2010,LOUP,5,125425,153838,371532,165621,2213396,67308,,15,15,30,11931398,12195769,24127167,1838512,736730,21551925,1766504,815489,2581993,1625665,677065,2302730,1665950,1041218,2707168,42290,111548,98549,26876,0,0,0,2000535,817322,2817857,1838096,733653,2571750,2100562,858188,2958749,91877,73743,165621,90611,74635,165247,1266,-892,374,256353,109866,366219,3043,454,3497,1591,225,1816,260988,110544,371532,10412,56896,67308,1637258,576138,2213396,0,0,0,0,0,0,1637258,576138,2213396,449590,87762,537352,699847,145242,44101,-71592,81836,10243,-234031,-1833,-235864,-334058,-42699,-376756
2011,LOUP,5,125751,170478,323532,215222,2144315,41556,,14,10,24,10937972,8924816,19862788,1728535,684357,17449894,1760870,663252,2424122,1633217,494676,2127893,1668798,517155,2185953,31206,139272,96447,29304,0,0,0,2010848,713777,2724625,1879900,646945,2526845,2111391,749466,2860857,119309,95913,215222,116048,94831,210879,3261,1082,4343,222723,95453,318176,3031,452,3483,1642,231,1873,227396,96136,323532,10436,31120,41556,1653707,490608,2144315,0,0,0,0,0,0,1653707,490608,2144315,373010,59570,432580,701617,145242,44101,-119029,16307,-102723,-249978,-50525,-300503,-350520,-86214,-436735
2012,LOUP,5,143640,302640,927821,311370,1788885,126477,,12,2,14,9516907,1978466,11495373,1500951,595999,9398422,1667499,448678,2116176,1522662,147234,1669896,1527899,147234,1675133,47357,255284,97480,46160,0,0,0,2380152,774401,3154553,1827228,543144,2370372,2499159,813121,3312280,113687,197683,311370,110319,190208,300527,3368,7475,10843,645693,276726,922419,3037,454,3491,1673,237,1911,650403,277418,927821,20570,105907,126477,1595492,193393,1788885,0,0,0,0,0,0,1595492,193393,1788885,146098,57436,203533,701617,145242,44101,-159730,-94466,-254195,-712653,-325723,-1038376,-831661,-364443,-1196104
1988,LOWER PLATTE,6,147785,78768,372208,327213,2584948,0,,12,7,19,2449590,1467839,3917429,209452,102674,3605303,2212367,468298,2680665,73391,12182,85573,90134,12182,102316,38865,39903,76710,71074,2023401,345138,2368539,2402614,881755,3284369,2217122,842824,3059946,2522745,925843,3448588,199887,127326,327213,199887,127326,327213,0,0,0,254056,108881,362938,6113,914,7027,2034,210,2244,262202,110006,372208,0,0,0,1940525,644423,2584948,455717,153014,608731,1940525,644423,2584948,0,0,0,0,0,0,442100,16858,5655,-4755,-374526,-379281,-190247,-413457,-603704,-310378,-457545,-767923
1989,LOWER PLATTE,6,145621,72457,305202,320678,2569383,0,,11,9,20,2318199,1864417,4182616,349263,170862,3662491,2118738,504678,2623416,295385,7182,302567,317274,15183,332457,38153,34305,77846,67775,1707354,395417,2102771,2336321,858943,3195263,2198867,836815,3035682,2453137,901890,3355026,199273,121405,320678,199273,121405,320678,0,0,0,207151,88779,295930,6115,913,7028,2034,210,2244,215300,89903,305202,0,0,0,1921748,647635,2569383,454054,153014,607068,1921748,647635,2569383,0,0,0,0,0,0,458054,17254,5804,-80129,-332137,-412266,-217582,-354264,-571847,-334398,-397212,-731610
1990,LOWER PLATTE,6,119993,72451,217315,317418,2574127,0,,16,13,29,3390659,2647019,6037678,545979,267382,5224318,2233166,825365,3058530,410352,209058,619410,491771,397267,889038,39853,32598,68210,51782,1714750,531927,2246677,2269331,839530,3108861,2183755,827783,3011538,2382798,881506,3264304,199636,117782,317418,199636,117782,317418,0,0,0,145563,62384,207947,6172,927,7099,2051,218,2269,153786,63529,217315,0,0,0,1915909,658218,2574127,454054,153014,607068,1915909,658218,2574127,0,0,0,0,0,0,483130,17649,6225,49411,-2418,46992,-36165,-14165,-50330,-149632,-56142,-205773
1991,LOWER PLATTE,6,145641,84577,461417,328911,2580328,0,,16,9,25,3305253,1826566,5131819,490812,240336,4400672,1926148,749236,2675384,247178,253704,500882,250587,356595,607182,43792,40785,74684,70956,1560494,383790,1944284,2449619,921037,3370656,2199579,855301,3054880,2572100,967088,3539188,202254,126658,328911,202254,126658,328911,0,0,0,316162,135498,451660,6233,934,7166,2330,261,2590,324724,136692,461417,0,0,0,1922641,657687,2580328,454054,153014,607068,1922641,657687,2580328,0,0,0,0,0,0,494893,17767,6331,-273431,-106065,-379496,-523471,-171801,-695272,-645952,-217853,-863804
1992,LOWER PLATTE,6,75090,61388,51739,309147,2587781,0,,16,14,30,3455934,2920872,6376806,557683,273028,5546096,2336340,1017716,3354056,414219,281796,696015,427081,303900,730981,39200,22187,53020,22070,1829901,691663,2521564,2164227,784441,2948667,2179230,792788,2972018,2272438,823663,3096101,200145,109003,309147,200145,109003,309147,0,0,0,29195,12512,41708,6279,940,7219,2543,269,2812,38017,13722,51739,0,0,0,1926065,661716,2587781,455717,153014,608731,1926065,661716,2587781,0,0,0,0,0,0,503750,17893,6590,157110,224928,382038,172113,233276,405389,63902,194054,257955
1993,LOWER PLATTE,6,35213,61952,93387,310782,2595186,0,,20,22,42,4119412,4654041,8773453,1012268,496195,7264988,3368077,1753822,5121899,885074,526235,1411309,1388188,1638594,3026782,40540,21412,24996,10217,2417466,1195958,3613425,2203599,795756,2999356,2161411,779771,2941181,2313779,835544,3149323,202945,107838,310782,202945,107838,310782,0,0,0,58322,24995,83317,6285,938,7224,2577,269,2846,67184,26203,93387,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,511200,18031,6709,1206666,974051,2180717,1164477,958066,2122543,1054298,918278,1972575
1994,LOWER PLATTE,6,79813,66056,146288,313744,2595186,0,,11,15,26,2305018,3069979,5374997,935872,458878,3980246,3089513,1069610,4159123,863337,384998,1248335,1019896,437050,1456946,38226,27830,39309,40503,2148641,616279,2764919,2237438,817779,3055218,2172530,816213,2988742,2349310,858668,3207979,199750,113993,313744,199750,113993,313744,0,0,0,95307,40846,136153,6309,945,7253,2602,279,2881,104218,42070,146288,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,514861,17812,6704,916983,253397,1170380,852074,251830,1103905,740203,210941,951144
1995,LOWER PLATTE,6,148654,78590,351951,323953,2595186,0,,22,6,28,4549744,1233065,5782809,911556,446702,4424551,3234672,939940,4174613,869689,260362,1130051,981395,303186,1284581,40302,38288,72726,75927,2251955,565363,2817318,2381778,889312,3271090,2206294,861498,3067793,2500867,933778,3434644,200098,123855,323953,200098,123855,323953,0,0,0,239146,102491,341637,6439,971,7410,2624,279,2903,248210,103741,351951,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,515569,17525,6737,1028378,78442,1106820,852895,50628,903523,733806,6163,739968
1996,LOWER PLATTE,6,82542,69659,165558,314712,2601278,0,,17,12,29,3513593,2465299,5978892,890887,436727,4651277,2829109,1213351,4042460,680402,495170,1175572,836132,700808,1536940,42305,27355,55725,26817,2050677,664009,2714686,2259256,822292,3081548,2197201,801331,2998532,2372218,863407,3235625,201914,112798,314712,201914,112798,314712,0,0,0,108528,46512,155040,6446,959,7406,2806,307,3113,117780,47778,165558,0,0,0,1939562,661716,2601278,455717,153014,608731,1939562,661716,2601278,0,0,0,0,0,0,527344,17833,6782,631908,412020,1043928,569853,391059,960912,456891,349944,806835
1997,LOWER PLATTE,6,101374,74200,321334,321170,2589616,0,,13,8,21,2781054,1718789,4499843,563341,276337,3660165,2816587,770683,3587270,490306,174820,665126,545282,183370,728652,41452,32748,51406,49969,2233424,513146,2746570,2356708,875412,3232120,2181267,830893,3012160,2474543,919183,3393725,201962,119208,321170,201962,119208,321170,0,0,0,217503,93215,310718,6449,966,7415,2894,307,3200,226846,94488,321334,0,0,0,1927900,661716,2589616,454054,153014,607068,1927900,661716,2589616,0,0,0,0,0,0,521641,17520,6752,635320,-60209,575110,459879,-104729,355151,342044,-148499,193545
1998,LOWER PLATTE,6,93847,69422,207282,315106,2595186,0,,21,14,35,4333474,3018745,7352219,955496,468860,5927863,3236999,1180472,4417472,924325,335930,1260255,1064133,471537,1535670,39682,29740,53171,40676,2219821,774126,2993948,2280606,836968,3117573,2186744,817395,3004139,2394636,878816,3273452,200103,115003,315106,200103,115003,315106,0,0,0,137573,58960,196532,6493,972,7465,2967,317,3284,147032,60249,207282,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,530568,17510,6907,1050255,363078,1413333,956394,343505,1299898,842363,301656,1144020
1999,LOWER PLATTE,6,94914,69803,196944,313297,2595186,0,,20,13,33,4127921,2745622,6873543,741507,363176,5768860,3076685,1106559,4183244,677305,262158,939463,839245,445243,1284488,40296,29507,52861,42053,2306224,772841,3079064,2272511,832916,3105427,2185555,817842,3003397,2386136,874561,3260698,199224,114073,313297,199224,114073,313297,0,0,0,130272,55831,186102,6536,979,7514,3009,317,3327,139817,57127,196944,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,537398,18060,7033,891130,288717,1179847,804174,273643,1077818,690549,231998,922546
2000,LOWER PLATTE,6,137900,83603,406801,326636,2602512,0,,9,9,18,2012760,1980229,3992989,594983,291451,3106555,2258807,678827,2937634,516543,147864,664407,517196,148212,665408,43114,40489,69514,68387,1629636,422087,2051724,2428995,906954,3335949,2211784,855264,3067048,2550445,952302,3502747,201474,125162,326636,201474,125162,326636,0,0,0,277096,118756,395852,6577,985,7562,3051,337,3387,286724,120077,406801,0,0,0,1940796,661716,2602512,455717,153014,608731,1940796,661716,2602512,0,0,0,0,0,0,549798,18294,7447,47023,-176437,-129415,-170188,-228128,-398316,-291638,-273475,-565113
2001,LOWER PLATTE,6,165931,80818,358349,323882,2595186,0,,20,6,26,4260232,1393691,5653923,531545,260783,4861596,2731046,706063,3437109,467776,78481,546257,533395,84936,618331,41452,39366,87655,78277,2134163,509940,2644103,2385838,891579,3277417,2220666,864334,3085000,2505129,936158,3441288,199541,124341,323882,199541,124341,323882,0,0,0,243126,104197,347323,6609,989,7598,3091,337,3428,252826,105522,358349,0,0,0,1933470,661716,2595186,454054,153014,607068,1933470,661716,2595186,0,0,0,0,0,0,564154,18678,7682,510380,-158271,352109,345208,-185516,159692,225917,-230095,-4179
2002,LOWER PLATTE,6,179960,79666,441546,326834,2577281,0,,15,8,23,3204074,1785061,4989135,405667,198772,4384697,2096949,513487,2610436,250765,95061,345826,255378,107477,362855,40186,39480,94095,85864,1711903,293081,2004984,2444776,900885,3345661,2227792,856284,3084075,2567015,945929,3512944,200226,126608,326834,200226,126608,326834,0,0,0,301287,129123,430410,6637,993,7630,3156,349,3505,311080,130466,441546,0,0,0,1933470,643811,2577281,454054,153014,607068,1933470,643811,2577281,0,0,0,0,0,0,583532,18976,7952,-130842,-342797,-473639,-347827,-387398,-735225,-470066,-432442,-902508
